Firm,Investment Stage,Minimum Investment,Maximum Investment,Location,Country,Fund Size,Link
"Adams Street Partners-London","Early Stage","5000000000.0","20000000000.0","London","United Kingdom","22000000000.0","http://venture-capital-firms.findthebest.com/l/347/Adams-Street-Partners-London"
"Grace Venture Partners","Early Stage/Startup/Seed/Expansion/Later Stage","","","Orlando, Florida","United States","","http://venture-capital-firms.findthebest.com/l/1083/Grace-Venture-Partners"
"Emerald Stage2 Ventures","Early Stage/Startup/Seed","1000000.0","3000000.0","Philadelphia, Pennsylvania","United States","15000000.0","http://venture-capital-firms.findthebest.com/l/424/Emerald-Stage2-Ventures"
"JMI Equity-La Jolla-California","Expansion/Early Stage","10000000000.0","1e+11","La Jolla, California","United States","2100000000.0","http://venture-capital-firms.findthebest.com/l/638/JMI-Equity-La-Jolla-California"
"iNovia Capital - Quebec - Canada","Early Stage/Startup/Seed","","10000000.0","Montr̩al, Quebec","Canada","275000000.0","http://venture-capital-firms.findthebest.com/l/620/iNovia-Capital-Quebec-Canada"
"Bessemer Venture Partners-Massachusetts","Startup/Seed/Early Stage/Expansion","","25000000000.0","Cambridge, Massachusetts","United States","1600000000.0","http://venture-capital-firms.findthebest.com/l/33/Bessemer-Venture-Partners-Massachusetts"
"ARCH Venture Partners - Chicago","Early Stage/Startup/Seed","","","Chicago, Illinois","United States","1500000000.0","http://venture-capital-firms.findthebest.com/l/1016/ARCH-Venture-Partners-Chicago"
"Domain Associates,LLC-Princeton-New Jersey","Early Stage","","20000000000.0","Princeton, New Jersey","United States","2400000000.0","http://venture-capital-firms.findthebest.com/l/184/Domain-Associates-LLC-Princeton-New-Jersey"
"Carlyle Group, The - Beirut - Lebanon","Expansion/Early Stage","","","Beirut","Lebanon","1.7e+11","http://venture-capital-firms.findthebest.com/l/454/Carlyle-Group-The-Beirut-Lebanon"
"CIT GAP Funds","Early Stage/Startup/Seed","","","Herndon, Virginia","United States","","http://venture-capital-firms.findthebest.com/l/1042/CIT-GAP-Funds"
"Sierra Ventures","Later Stage/Expansion/Early Stage/Startup/Seed","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/63/Sierra-Ventures"
"Rockport Capital Partners - Boston - Massachusetts","Startup/Seed/Early Stage/Expansion/Later Stage","","","Boston, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/597/Rockport-Capital-Partners-Boston-Massachusetts"
