company_name,investor_name
Miragen Therapeutics,Amgen
InteKrin,Amgen
Calistoga Pharmaceuticals,Amgen
Epizyme,Amgen
Trinity Biosystems,Amgen
Allozyne,Amgen
Calistoga Pharmaceuticals,Amgen
Cutting Edge Information,Amgen
VLST Corporation,Amgen
Avidia,Amgen
Viron Therapeutics,Amgen
Trinity Biosystems,Amgen
Calistoga Pharmaceuticals,Amgen
Avidia,Amgen
PTC Therapeutics,Amgen
Theraclone Sciences,Amgen
TetraLogic Pharmaceuticals,Amgen
Allozyne,Amgen
DecImmune Therapeutics,Amgen
Sutro Biopharma,Amgen
Acylin Therapeutics,Amgen
Oncofactor Corporation,Amgen
Ardelyx,Amgen
Miragen Therapeutics,Amgen
Sutro Biopharma,Amgen
Gamida Cell,Amgen
Theraclone Sciences,Amgen
Opsona,Amgen
Opsona,Amgen
Sutro Biopharma,Amgen
Invested.in,Amplify.LA
StackSocial,Amplify.LA
Look.io,Amplify.LA
The Kive Company,Amplify.LA
RadPad,Amplify.LA
Twenty Jeans,Amplify.LA
FloQast,Amplify.LA
Versartis,amunix
SleepOut,AMVF
BioSeek,Amylin Pharmaceuticals
Xenome,Amylin Pharmaceuticals
Actito,Anaphor Venture
Gramble World BV,Angaros Group Pte Ltd
ABPathfinder,Angel Capital Group
StyleTrek,Angel Hub
CENTRI Technology,Angel Valkyrie
Apptimize,AngelList
Snip.ly,AngelPad
Hug Energy,AngelPad
AllTrails,AngelPad
curated.by,AngelPad
RollCall (roll.to),AngelPad
MoPub,AngelPad
EggCartel,AngelPad
CoverHound,AngelPad
DailyCred,AngelPad
Crittercism,AngelPad
Astrid,AngelPad
Postmates,AngelPad
Cloudbot,AngelPad
Cloudbot,AngelPad
Hall,AngelPad
SimpleReach,AngelPad
Pipedrive,AngelPad
iDoneThis,AngelPad
Ribbon,AngelPad
CoverHound,AngelPad
Kinnek,AngelPad
Osito,AngelPad
Piggybackr,AngelPad
Pict,AngelPad
RolePoint,AngelPad
Audience.fm,AngelPad
Boxbee,AngelPad
Chasm.io (formerly Wahooly),AngelPad
DroneDeploy,AngelPad
Fieldwire,AngelPad
HumanAPI,AngelPad
Iterable,AngelPad
Pogoseat,AngelPad
Roobiq,AngelPad
Sensor Tower,AngelPad
TheShelf,AngelPad
Truly Wireless,AngelPad
AppyZoo,AngelPad
ElasticBox,AngelPad
Storefront,AngelPad
SourceNinja,AngelPad
Spotsetter,AngelPad
Spotsetter,AngelPad
Runnable,AngelPad
UpCounsel,AngelPad
Adku,AngelPad
Runnable,AngelPad
LocBox Labs,AngelPad
Pogoseat,AngelPad
cisimple,AngelPad
Dro.pt,AngelPad
unamia,AngelPrime
fanatix,Angels
Yasmo,Angels 5K
STORYS.JP,Anri Fund
Kanmu,Anri Fund
Schoo,Anri Fund
Xenapto,Anthemis Group SA
AGILE customer insight,Anthemis Group SA
CivicScience,Anzalone Liszt Research
Brightcove,AOL
Ancestry,AOL
KAYAK,AOL
KAYAK,AOL
XO Group,AOL
Mozilla,AOL
Extreme Enterprises,ApogeeInvent
MIDAS Solutions,AppCampus
iRezQ,Appincloud Sweden AB
Revolve.,Appiphony
Imagination Technologies,Apple
Imagination Technologies,Apple
ELAN Microelectronics,Apple
Collaaj,AppSense
Fariqak,Arabreneur
LiveTop,Arabreneur
Karaz,Arabreneur
Perfect Storm Media,Arbor Ventures
Kindling,Arc90
MiaSol_,ArcelorMittal
Obsorb,Arch Grants
Material Mix,Arch Grants
FoodEssentials,Arch Grants
adFreeq,Arch Grants
FoodEssentials,Arch Grants
Genetix Fusion,Arch Grants
Companion Pharma,Arch Grants
TrakBill,Arch Grants
Juristat,Arch Grants
Streetlife,Archant
Dennoo,Archetype
FlyData,Archetype
SPark!,Archetype Partners
Quixey,Archimedes Labs
Blurtt,Archimedes Labs
Incident Technologies,Archimedes Labs
just.me,Archimedes Labs
Broomstick Productions,Archimedes Labs
M.dot,Archimedes Labs
weendy,Archimedes Labs
Retrace,Archimedes Labs
xTV,Archimedes Labs
Loop Survey,Archimedes Labs
Big In Japan,Architel LP
ShopSavvy,Architel LP
ShopSavvy,Architel LP
e27,Ardent Capital
Guitar Party,Arion Banki
datatracker,Arion Banki
Snjohus Software ehf.,Arion Banki
aevi,Arion Banki
Whole Sale Fund,Arizona Commerce Authority
OrangeSlyce,Arizona State University
OrangeSlyce,Arizona State University
KonaWare,Arkansas Science & Technology Authority
Ambiq Micro,ARM
Kyma Technologies,ARPA-E
Watchwith,Arris Group
Calando Pharmaceuticals,Arrowhead Research
Symbian Foundation,Artemis Joint Technology Initiative
CapLinked,Artesian
Zookal,Artesian Capital Management
Posse,Artesian Capital Management
NewsMaven,Artesian Capital Management
BuyItRideIt,Artesian Capital Management
Chinese Whispers Music,Artesian Capital Management
MemberPass,Artesian Capital Management
Choosly,Artesian Capital Management
World BX,Artesian Capital Management
Fewzion,Artesian Capital Management
The 360 Mall,Artesian Capital Management
Muziwave.com,"Artisoft Group, LLC"
Player X,Arts Alliance Media
Artisan Pharma,Asahi Kasei
Crystal IS,Asahi Kasei
Envia Systems,Asahi Kasei
rSmart,ASAHI Net
Fancloud,ASC Ticket Company
Rentify,Ashcombe Advisers
CipherMax,Askew International Corp
Boni,Aslanoba Capital
Fit&Color,Aslanoba Capital
ininal,Aslanoba Capital
Current Communications Group,"Associated Partners, LP"
Bambuser,Associated Press
Courtanet,Assor
Telsar Pharma,Astellas Pharma
Vitrinepix,Astor Capital
ELIKE,Astor Capital
Nektar Therapeutics,AstraZeneca
GrabCAD,Astrec Baltic
"Splashtop, Inc",Asus
"Splashtop, Inc",Asus
MStar Semiconductor,Asustek Holdings
Akimbo,AT&T
On Networks,AT&T
On Networks,AT&T
Vobile,AT&T
Akimbo,AT&T
Sometrics,AT&T
Zvents,AT&T
Vlingo,AT&T
picoChip,AT&T
Pathfire,AT&T
StartX,AT&T
iStreamPlanet,AT&T
Wilocity,Atheros Communications
Larotec,Athlone Global Security
PerSay,Athlone Global Security
eVigilo,AtHoc
Node1,Atisco and associates
"Verizon Communications, Inc.",Atlantic Tele-Network
Youboox,Atlas Editions
Cloud9 IDE,Atlassian
Socialcam,Atom Factory
Tuition.io,Atom Factory
Endoluminal Sciences,ATP Innovations
Elastagen,ATP Innovations
ticketea,Atrapalo
Ganymed Pharmaceuticals,ATS Beteiligungsverwaltung
PAYMEY,attentra GmbH
M.Setek,AU Optronics
"Monoco, Inc.",Aucfan
CasterStats,Audilion
Rx Networks,Audiovox Canada
ApplyInc.com,Aurelian Global
SaveMeeting,AUREN
Taggify,Aurus VC
Diagnosia,Austrian research institute FFG
Miracor Medical Systems,Austrian Research Promotion Agency
"AutoWeb, Inc.",Autobytel.com
OnLive,Autodesk
Vela Systems,Autodesk
Gehry Technologies,Autodesk
Bolt.io,Autodesk
deviantART,Autodesk
OwnLocal,Automattic
WP Engine,Automattic
ZippyKid,Automattic
AutoRef.com,AutoScout24
ADC Therapeutics,Auven Therapeutics
Stion,AVACO
Mythos,Avalis
AntVoice,Avanquest Software
Berggi,Avanzit
AVentures Capital,AVentures Capital
Coppertino,AVentures Capital
CheckiO,AVentures Capital
Pongo Resume,Avidia Bank
BuildingLayer,Awesome Inc
Crambu,Awesome Inc
TagaPet,Awesome Inc
Fanbouts,Awesome Inc
Stadionaut,Awesome Inc
cartmi,Axel Springer
nextsocial,Axel Springer Plug and Play Accelerator
ZenGuard,Axel Springer Plug and Play Accelerator
Socius,Axel Springer Plug and Play Accelerator
embraase,Axel Springer Plug and Play Accelerator
get2play,Axel Springer Plug and Play Accelerator
1o1Media,Axel Springer Plug and Play Accelerator
blogfoster,Axel Springer Plug and Play Accelerator
VINTAGEHUB,Axel Springer Plug and Play Accelerator
Solid Sound Labs,Axel Springer Plug and Play Accelerator
ZenGuard,Axel Springer Plug and Play Accelerator
Asuum,Axel Springer Plug&Play Accelerator
VeteranCentral.com,AxHill LLC
Mswipe Technologies,Axis Bank
Opanga Networks,Axtel S.A.B. de C.V
Clerk,AyerViernes S.A.
[a]list games,Ayzenberg Group
Blogic,AZ Disruptors
Socset.,Azercell
HiringThing,Babcock & Jenkins
bulletn.,Babson College
Robotgalaxy,Bachmann Industries
Robotgalaxy,Bachmann Industries
UiTV,Baidu
AdsIt,Baidu
Ku6,Baidu
Anjuke,Baidu
Qunar.com,Baidu
Qunar.com,Baidu
JOA Oil & Gas,Baker Hughes Nederland Holdings
Tipping Bucket,Ballard Center for Economic Self Reliance
crossvertise,Bamboo Ventures
SurveyMonkey,Bank of America Merrill Lynch
Onformonics,Bank of Ireland
ALCOHOOT,Bantam Funds
Help Scout,Bantam Group
Libboo,Bantam Group
Timbre,Bantam Group
CityNews,Banzai Ventures
Feathr,Barracuda Networks
CityLive,Base 10 Web Solutions
Ebury Partners,Basekit
Robin,Batman BV
Zerto,Battery
Cumulus Networks,Battery Venture
StorkUp.com,Bauer Consumer Media
Gliknik,Baxter International
Naurex,Baxter International
Zytoprotec,Baxter International
Opsona,Baxter International
Ocular Therapeutix,Baxter International
Opsona,Baxter International
Xenetic Biosciences,Baxter International
FFFavs,Bay Area Holding
GoNabit,Bayt.com
P2P-Next,BBC
Workube,BBCapital
TekTrak,BCITL Ventures
ePACT Network Ltd,BDC
Picatic,BDC
Close,Be Great Partners
Rouxbe,Beacon Law Advisors
NanoSatisfi,Beamonte Investments
Black House,Beamonte Investments
Nanosolar,Beck Energy
Nanosolar,Beck Energy
Socialtext,Bedford Funding
fancybox,BeFactory
ChicPlace,BeFactory
tagUin,BeGreat
Shenzhen Jucheng Enterprise Management Consulting Co,Beijing Hejun Consulting
Extricom,Belden
Nonpareil,Bellichiamo Inc
Coinex.IO,Belovsky Trade Sciences
LiftDNA,Ben Franklin Technology Partners
Biba,Benchmark Capital / Balderton Capital
Instamedia,Bennett Coleman and Co Ltd
Gamma Basics,Bentley Systems
Sellobuy,Bering Technologies
Karo Internet,Berlin Venture Partners
Qmerce,Bernardo Investment
MetaSolv,Bernay Box & Co
5gig,"Berquet Desarrollo Empresarial, S.L."
Mojiva,Bertelsmann
DramaFever,Bertelsmann
UniversityNow,Bertelsmann
WizIQ,Bertelsmann
India Property Online,Bertelsmann
UniversityNow,Bertelsmann
Synergis Education,Bertelsmann
UCloud Information Technology,Bertelsmann
Hoolai Games,Bertelsmann AG
Mydeo,Best Buy
Avnera,Best Buy
SiBEAM,Best Buy
Zubie,Best Buy
DiJiPOP,Betaspring
Jobzle,Betaspring
GreenGoose!,Betaspring
Inhabi,Betaspring
AwesomeTouch,Betaspring
BuildingLayer,Betaspring
Tracelytics,Betaspring
Manpacks,Betaspring
Plandree,Betaspring
Spogo Inc.,Betaspring
Sproutel,Betaspring
121nexus,Betaspring
Kuratur,Betaspring
Recroup,Betaspring
DapperJobs,Betaspring
A Curated World,Betaspring
Bare Tree Media,Betaspring
AutoShag,Betaspring
Bolt,Betaspring
Care Thread,Betaspring
Crunchbutton,Betaspring
Designer Material,Betaspring
Edtrips,Betaspring
Eventcheq,Betaspring
Gorb,Betaspring
HealthID Profile,Betaspring
Hundo,Betaspring
InfiKno,Betaspring
JumpOffCampus,Betaspring
Prepmatic,Betaspring
