company_name,investor_name
Semprius,ARCH Venture Partners
KOTURA,ARCH Venture Partners
Limerick BioPharma,ARCH Venture Partners
Sapphire Energy,ARCH Venture Partners
Shocking Technologies,ARCH Venture Partners
Innovalight,ARCH Venture Partners
Cambrios Technologies,ARCH Venture Partners
Cambrios Technologies,ARCH Venture Partners
Pulmatrix,ARCH Venture Partners
Fate Therapeutics,ARCH Venture Partners
Fate Therapeutics,ARCH Venture Partners
Receptos,ARCH Venture Partners
PhaseRx,ARCH Venture Partners
Innovalight,ARCH Venture Partners
VentiRx Pharmaceuticals,ARCH Venture Partners
Impinj,ARCH Venture Partners
Shocking Technologies,ARCH Venture Partners
Allozyne,ARCH Venture Partners
Ensemble Discovery,ARCH Venture Partners
Semprius,ARCH Venture Partners
Achaogen,ARCH Venture Partners
Omeros,ARCH Venture Partners
VLST Corporation,ARCH Venture Partners
Chiasma,ARCH Venture Partners
Kythera Biopharmaceuticals,ARCH Venture Partners
Achaogen,ARCH Venture Partners
Groove Biopharma.,ARCH Venture Partners
AmberWave,ARCH Venture Partners
Nitronex,ARCH Venture Partners
Crystal IS,ARCH Venture Partners
Aveso,ARCH Venture Partners
"BIND Therapeutics, Inc.",ARCH Venture Partners
Adesto Technologies,ARCH Venture Partners
Theraclone Sciences,ARCH Venture Partners
Ciespace,ARCH Venture Partners
Crystal IS,ARCH Venture Partners
Allozyne,ARCH Venture Partners
Ahura Scientific,ARCH Venture Partners
KOTURA,ARCH Venture Partners
Sorbent Therapeutics,ARCH Venture Partners
nanosys,ARCH Venture Partners
Impinj,ARCH Venture Partners
Siluria Technologies,ARCH Venture Partners
Kilimanjaro Energy,ARCH Venture Partners
Acylin Therapeutics,ARCH Venture Partners
Univa,ARCH Venture Partners
bluebird bio,ARCH Venture Partners
Oncofactor Corporation,ARCH Venture Partners
Semprius,ARCH Venture Partners
Sorbent Therapeutics,ARCH Venture Partners
Pulmatrix,ARCH Venture Partners
Shocking Technologies,ARCH Venture Partners
Kythera Biopharmaceuticals,ARCH Venture Partners
Siluria Technologies,ARCH Venture Partners
Agios Pharmaceuticals,ARCH Venture Partners
Groove Biopharma,ARCH Venture Partners
Receptos,ARCH Venture Partners
Semprius,ARCH Venture Partners
Chiasma,ARCH Venture Partners
bluebird bio,ARCH Venture Partners
Siluria Technologies,ARCH Venture Partners
Impinj,ARCH Venture Partners
908 Devices,ARCH Venture Partners
Quanterix,ARCH Venture Partners
nanosys,ARCH Venture Partners
Theraclone Sciences,ARCH Venture Partners
Syros Pharmaceuticals,ARCH Venture Partners
AgBiome,ARCH Venture Partners
Achaogen,ARCH Venture Partners
Adesto Technologies,ARCH Venture Partners
Sorbent Therapeutics,ARCH Venture Partners
908 Devices,ARCH Venture Partners
Boreal Genomics,ARCH Venture Partners
SAGE Therapeutics,ARCH Venture Partners
Siluria Technologies,ARCH Venture Partners
Sorbent Therapeutics,ARCH Venture Partners
TRELYS,ARCH Venture Partners
NextCode Health,ARCH Venture Partners
Cambrios Technologies,ARCH Venture Partners
Juno Therapeutics,ARCH Venture Partners
Adventi,Archangel Informal Investments
CXR Biosciences,Archangel Informal Investments
Powerphotonic,Archangel Informal Investments
Touch Bionics,Archangel Informal Investments
MGB Biopharma,Archangel Informal Investments
Adventi,Archangel Informal Investments
Ateeda,Archangel Informal Investments
Touch Bionics,Archangel Informal Investments
Blackford Analysis,Archangel Informal Investments
NCTech,Archangel Informal Investments
Calcivis,Archangel Informal Investments
LUX Assure,Archangel Informal Investments
Inquisitive Systems,ArchAngels
SocialVolt,Archer Capital
Impermium,"Archimede Ventures, Inc."
Qinec,Archimedia Investments
Lineagen,Archipel Capital
Revolucionadolabs,Arctic Fox Venture
SupplyFrame,Arcturus Capital
Pliant Technology,Arcturus Capital
Ondax,Arcturus Capital
Digital Performance,Arcturus Capital
Pliant Technology,Arcturus Capital
Novariant,Arcturus Capital
Ondax,Arcturus Capital
Ondax,Arcturus Capital
TRUECar,Arcturus Capital
TRUECar,Arcturus Capital
T2 Biosystems,Arcus Ventures
Vascular Pathways,Arcus Ventures
TRACON Pharmaceuticals,Arcus Ventures
Molecular Imaging,Arcus Ventures
Molecular Imaging,Arcus Ventures
T2 Biosystems,Arcus Ventures
T2 Biosystems,Arcus Ventures
Sensicore,Ardesta
Discera,Ardesta
Sensicast Systems,Ardesta
Discera,Ardesta
Streamezzo,Ardian
ulike,Ardian
Batiweb.com,Ardian
YETI Group,Ardian
INDOM,Ardian
Glamour Sales Holding,Ardian
Sparus Software,Ardian
Streamezzo,Ardian
Cytheris,Ardian
ERYtech Pharma,Ardian
JIT Solaire,Ardian
Sparus Software,Ardian
CLH Group,Ardian
Ivalua,Ardian
Ticket Surf International,Ardian
Arkadin,Ardian
BestSecret.com,Ardian
Glacier Bay,Ardour Capital Investments
SurgiQuest,Ares Capital Corporation
[x+1],Ares Capital Corporation
MobileAware,Argan Capital Advisors
Riskclick,Argan Capital Advisors
Casero,Argo Global Capital
Casero,Argo Global Capital
Sylantro,Argo Global Capital
VoluBill,Argo Global Capital
World Wide Packets,Argo Global Capital
PhyFlex Networks,Argo Global Capital
VoluBill,Argo Global Capital
Empower Interactive,Argo Global Capital
Anagran,Argon Venture Partners
Veraz Networks,Argonaut Holdings
Achronix Semiconductor,Argonaut Partners
Siklu,Argonaut Partners
Libox,Argonaut Partners
WiTricity,Argonaut Partners
ZikBit,Argonaut Partners
Achronix Semiconductor,Argonaut Partners
Luminus Devices,Argonaut Private Equity
Flash Networks,Argonaut Private Equity
TransPharma Medical,Argonaut Private Equity
Luminus Devices,Argonaut Private Equity
Amimon,Argonaut Private Equity
Novariant,Argonaut Private Equity
Aspen Aerogels,Argonaut Private Equity
eYantra Industries,Argonaut Private Equity
Yulex,Argonaut Private Equity
Crown Bioscience,Argonaut Private Equity
OmniGuide,Argonaut Ventures
Amimon,Argonaut Ventures
Eglue Business Technologies,Argonaut Ventures
Solyndra,Argonaut Ventures
Actelis Networks,Argonaut Ventures
Solyndra,Argonaut Ventures
TeraDiode,Argonaut Ventures
OmniGuide,Argonaut Ventures
InfoGin,Argoquest
SquareTrade,Argus Capital
SquareTrade,Argus Capital
Clickslide,Ariadne Capital
Taggstar,Ariadne Capital
Quill,Ariadne Capital
Carmell Therapeutics,Ariel Savannah Angel Partners
NetSocket,Aristos Ventures
ZenCash,Aristos Ventures
Quirky,Arizona Bay Technology Ventures
FeeFighters,Arizona Bay Technology Ventures
BlogGlue,Arizona Technology Investor Forum
StackSearch,Ark Challenge
"Agricultural Food Systems, LLC",Ark Challenge
Yuntaa,Arkafund
Oxynade,Arkafund
Netmining,Arkafund
Acumen Holdings,Arkansas Risk Capital Matching Fund
"Agricultural Food Systems, LLC",Arkansas Venture Capital Investment Trust
cCAM Biotherapeutics,Arkin Holdings
KupiVIP,ARLAN
Cambridge Innovation Capital,ARM Holdings
GoingOn,Armada Investment Group
GoingOn,Armada Investment Group
Skyway Software,Armada Investment Group
Overture Networks,Armada Investment Group
LifeShield,Armstrong Group and Associated Partners
Accumetrics,Arnerich Massena & Associates
Salient Surgical Technologies,Arnerich Massena & Associates
Accumetrics,Arnerich Massena & Associates
Accumetrics,Arnerich Massena & Associates
Tryton Medical,Arnerich Massena & Associates
LocalMaven.com,Arnon Rosan
Excelsoft,Arohi Asset Management
Kohort,ArpexCapital
Pagar.me,ArpexCapital
Backchat,ArpexCapital
Zopa,Arrowgrass Capital
Innotas,ArrowPath Venture Partners
TriCipher,ArrowPath Venture Partners
Siperian,ArrowPath Venture Partners
BlueRoads,ArrowPath Venture Partners
Appscio,ArrowPath Venture Partners
TriCipher,ArrowPath Venture Partners
BlueRoads,ArrowPath Venture Partners
Vyatta,ArrowPath Venture Partners
Anagran,ArrowPath Venture Partners
Innotas,ArrowPath Venture Partners
TriCipher,ArrowPath Venture Partners
Vyatta,ArrowPath Venture Partners
Vyatta,ArrowPath Venture Partners
Bridgestream,ArrowPath Venture Partners
BinOptics,ArrowPath Venture Partners
Xceedium,ArrowPath Venture Partners
TriCipher,ArrowPath Venture Partners
Anagran,ArrowPath Venture Partners
BinOptics,ArrowPath Venture Partners
BeVocal,ArrowPath Venture Partners
MetaLINCS,ArrowPath Venture Partners
Gamma Enterprise Technologies,ArrowPath Venture Partners
Vyatta,ArrowPath Venture Partners
BinOptics,ArrowPath Venture Partners
Xceedium,ArrowPath Venture Partners
Innotas,ArrowPath Venture Partners
Sapphire Energy,Arrowpoint Partners
Bioformix,Arsenal Venture Partners
Blue Pillar,Arsenal Venture Partners
CrossFiber,Arsenal Venture Partners
Arctic Sand Technologies,Arsenal Venture Partners
Zentila,Arsenal Venture Partners
Sayduck,Arteel Ventures
The Hut Group,Artemis
Nanotecture,Artemis
Sphere Medical Holding,Artemis
Sphere Medical Holding,Artemis
BusinessCard2,Arthur Ventures
Infusionsoft,Arthur Ventures
LeadPages,Arthur Ventures
Catalyze,Arthur Ventures
ThisClicks,Arthur Ventures
Southwest Nanotechnologies,Arthur Zaske & Associates
Myndnet,Artiman Ventures
InvenSense,Artiman Ventures
InvenSense,Artiman Ventures
Virident Systems,Artiman Ventures
OpSource,Artiman Ventures
OpSource,Artiman Ventures
Dyyno,Artiman Ventures
Dyyno,Artiman Ventures
OpSource,Artiman Ventures
Ortiva Wireless,Artiman Ventures
XTRM,Artiman Ventures
Airwide Solutions,Artiman Ventures
Nethra Imaging,Artiman Ventures
Sierra Design Automation,Artiman Ventures
VuCast Media,Artiman Ventures
NetDevices,Artiman Ventures
Zyme Solutions,Artiman Ventures
Adama Materials,Artiman Ventures
Virident Systems,Artiman Ventures
Ortiva Wireless,Artiman Ventures
Pricelock,Artiman Ventures
CardioDx,Artiman Ventures
Guavus,Artiman Ventures
Prysm,Artiman Ventures
Virident Systems,Artiman Ventures
Guavas,Artiman Ventures
CardioDx,Artiman Ventures
Virident Systems,Artiman Ventures
Guavus,Artiman Ventures
Guavus,Artiman Ventures
Tonbo Imaging,Artiman Ventures
CardioDx,Artiman Ventures
Virident Systems,Artiman Ventures
Cellworks,Artiman Ventures
adBrite,ARTIS Ventures
Dash,ARTIS Ventures
adBrite,ARTIS Ventures
Dash,ARTIS Ventures
Silver Peak Systems,ARTIS Ventures
Aruba Networks,ARTIS Ventures
Open Silicon,ARTIS Ventures
Oorja Protonics,ARTIS Ventures
SchemaLogic,ARTIS Ventures
Tilera,ARTIS Ventures
Practice Fusion,ARTIS Ventures
Nimble Storage,ARTIS Ventures
ClearEdge Power,ARTIS Ventures
Practice Fusion,ARTIS Ventures
Nimble Storage,ARTIS Ventures
InternMatch,ARTIS Ventures
Practice Fusion,ARTIS Ventures
Practice Fusion,ARTIS Ventures
Omicia,ARTIS Ventures
AgLocal,Artists and Instigators
Atom Entertainment,Arts Alliance Ventures
Daylife,Arts Alliance Ventures
Kenshoo,Arts Alliance Ventures
Povo,Arts Alliance Ventures
Aperto Networks,Arts Alliance Ventures
Monte Cristo,Arts Alliance Ventures
Cinelan,Arts Alliance Ventures
YCD Multimedia,Arts Alliance Ventures
Player X,Arts Alliance Ventures
YCD Multimedia,Arts Alliance Ventures
InLive Interactive,Arts Alliance Ventures
Brainient,Arts Alliance Ventures
AtomShockwave,Arts Alliance Ventures
RollUp Media,Arts Alliance Ventures
Kenshoo,Arts Alliance Ventures
We Are Pop Up,Arts Alliance Ventures
gamigo,AS Venture
OLSET,Asad Zafar
SwapDrive,ASAP Ventures
Navidog,ASB Ventures
Provigent,Ascend Technology Ventures
Breach Security,Ascend Technology Ventures
SintecMedia,Ascend Technology Ventures
NextNine,Ascend Technology Ventures
IntellinX,Ascend Technology Ventures
NextNine,Ascend Technology Ventures
Tripology,Ascend Venture Group
Mogreet,Ascend Venture Group
DimensionU (formerly Tabula Digita),Ascend Venture Group
DimensionU (formerly Tabula Digita),Ascend Venture Group
ITM Software,Ascend Venture Group
StrikeIron,Ascend Venture Group
Schoolnet,Ascend Venture Group
Playboox,Ascend Venture Group
Send Word Now,Ascend Venture Group
Wimba,Ascend Venture Group
Send Word Now,Ascend Venture Group
Boxxet,Ascend Venture Group
Send Word Now,Ascend Venture Group
NextMedium,Ascend Venture Group
ITM Software,Ascend Venture Group
GridApp Systems,Ascend Venture Group
NextMedium,Ascend Venture Group
ClassLink,Ascend Venture Group
Mogreet,Ascend Venture Group
Visualant,Ascendiant Capital Partners
Augmenix,Ascension Ventures
Isto Technologies,Ascension Ventures
Cheetah Medical,Ascension Ventures
Hemosphere,Ascension Ventures
EKOS Corporation,Ascension Ventures
Phreesia,Ascension Ventures
Vascular Pathways,Ascension Ventures
Augmenix,Ascension Ventures
Sonoma Orthopedics,Ascension Ventures
Ivantis,Ascension Ventures
Pathogenetix,Ascension Ventures
BodyMedia,Ascension Ventures
Ocular Therapeutix,Ascension Ventures
NaviHealth,Ascension Ventures
Vivify Health,Ascension Ventures
Cheetah Medical,Ascension Ventures
"GetWellNetwork, Inc.",Ascension Ventures
Ocular Therapeutix,Ascension Ventures
Planet Ivy,Ascension Ventures
Quantros,Ascension Ventures
Pathogenetix,Ascension Ventures
Wir3s,Ascension Ventures
CSA Medical,Ascension Ventures
Ivantis,Ascension Ventures
TargAnox,Ascent Biomedical Ventures
Cara Therapeutics,Ascent Biomedical Ventures
Cara Therapeutics,Ascent Biomedical Ventures
Cara Therapeutics,Ascent Biomedical Ventures
Xlumena,Ascent Biomedical Ventures
Coferon,Ascent Biomedical Ventures
Xlumena,Ascent Biomedical Ventures
Covagen,Ascent Biomedical Ventures
Skanray Technologies,Ascent Capital Group
Newgen Software Technologies,Ascent Capital Group
ZoomInfo,Ascent Venture Partners
TimeTrade Systems,Ascent Venture Partners
StrikeIron,Ascent Venture Partners
Fidelis Security Systems,Ascent Venture Partners
WebLayers,Ascent Venture Partners
WebLayers,Ascent Venture Partners
ClickFox,Ascent Venture Partners
Bizo,Ascent Venture Partners
Cedar Point Communications,Ascent Venture Partners
HubCast,Ascent Venture Partners
V.i. Laboratories,Ascent Venture Partners
Interactive Supercomputing,Ascent Venture Partners
Terascala,Ascent Venture Partners
BEZ Systems,Ascent Venture Partners
Guardium,Ascent Venture Partners
Bluesocket,Ascent Venture Partners
Whaleback Systems,Ascent Venture Partners
Everyday Solutions,Ascent Venture Partners
Network Intelligence,Ascent Venture Partners
Guardium,Ascent Venture Partners
StrikeIron,Ascent Venture Partners
Cedar Point Communications,Ascent Venture Partners
Bluesocket,Ascent Venture Partners
Fidelis Security Systems,Ascent Venture Partners
Whaleback Systems,Ascent Venture Partners
TimeTrade Systems,Ascent Venture Partners
ClickFox,Ascent Venture Partners
Verivo Software,Ascent Venture Partners
CloudLock,Ascent Venture Partners
Startapp,Ascent Venture Partners
Terascala,Ascent Venture Partners
HubCast,Ascent Venture Partners
ScaleBase,Ascent Venture Partners
Knoa Software,Ascent Venture Partners
Verivo Software,Ascent Venture Partners
PerspecSys,Ascent Venture Partners
Terascala,Ascent Venture Partners
Verivo Software,Ascent Venture Partners
Verivo Software,Ascent Venture Partners
CloudLock,Ascent Venture Partners
Genmedica Therapeutics,Asclepios Biosearch
Konarka Technologies,Asenqua Ventures
InstaMed,Ashby Point Capital
Apprion,Ashford Capital
Heart Metabolics,AshHill Pharmaceutical Investments
ECI Telecom,Ashmore Investment Management
Greenlots,Asia Cleantech Capital Ltd
Ybrant Digital,Asia Pacific Capital
Ybrant Digital,Asia Pacific Capital
Ciris Energy,Asia Pacific Capital
iMoney Group,Asia Venture Group
MBA Polymers,Asia West
HealthSpring,Asian Healthcare Fund
MyDentist,Asian Healthcare Fund
Forus Health,Asian Healthcare Fund
OQO,AsiaTech Management
VisualOn,AsiaTech Management
CiraNova,AsiaTech Management
Abazab,AsiaTech Management
CiraNova,AsiaTech Management
Knowlent,AsiaTech Management
VisualOn,AsiaTech Management
MaxLinear,AsiaTech Management
Clear Shape Technologies,AsiaTech Management
Knowlent,AsiaTech Management
Parade Technologies,AsiaVest Partners
iSoftStone,AsiaVest Partners
Anchiva Systems,AsiaVest Partners
SMIC,AsiaVest Partners
iSoftStone,AsiaVest Partners
iSoftStone,AsiaVest Partners
Sundia MediTech,AsiaVest Partners
Heidi Coast Advertising,AsiaVest Partners
Critical Links,ASK Capital
Omni Hospitals,ASK Pravi
GuestCentric Systems,ASK Venture Partners
Hemenkiralik.com,Aslanoba Capital
CloudArena,Aslanoba Capital
LilaKutu,Aslanoba Capital
ThinkLink,Aspada
LaserGen,Aspen MedTech Ventures III
Amperion,Aspen Ventures
Helicomm,Aspen Ventures
Salespush.com,Aspiration Capital
Slurp.co.uk,Aspiration Capital
AgileJ Limited,Aspiration Capital
MediciNova,Aspire Capital Fund
Loomia,Asset Management Company
db4objects,Asset Management Company
Brilliant Telecommunications,Asset Management Company
BiPar Sciences,Asset Management Company
BiPar Sciences,Asset Management Company
BiPar Sciences,Asset Management Company
CAPNIA,Asset Management Company
iScience Interventional,Asset Management Company
InteKrin,Asset Management Company
Chimerix,Asset Management Company
Chimerix,Asset Management Company
Novare Surgical,Asset Management Company
Coapt Systems,Asset Management Company
Sonoma Orthopedics,Asset Management Company
CardioDx,Asset Management Company
Servo Software,Asset Management Company
Coapt Systems,Asset Management Company
HighTower Advisors,Asset Management Company
Brilliant Telecommunications,Asset Management Company
Invaluable,Asset Management Company
Stratavia,Asset Management Company
Athena Design Systems,Asset Management Company
OfferIQ,Asset Management Company
Corrigo,Asset Management Company
Chimerix,Asset Management Company
CardioDx,Asset Management Company
Keepsafe,Asset Management Company
Chimerix,Asset Management Company
Esperion Therapeutics,Asset Management Company
ViaCyte,Asset Management Company
ViaCyte,Asset Management Company
CardioDx,Asset Management Company
Sonoma Orthopedics,Asset Management Partners
ooma,Asset Management Ventures
CardioDx,Asset Management Ventures
CardioDx,Asset Management Ventures
ICON Aircraft,Asset Management Ventures
HealthTap,Asset Management Ventures
Keepsafe,Asset Management Ventures
Skybox Imaging,Asset Management Ventures
Biomimedica,Asset Management Ventures
CardioDx,Asset Management Ventures
Reify Health,Asset Management Ventures
Esperion Therapeutics,Asset Management Ventures
HealthTap,Asset Management Ventures
Keepsafe,Asset Management Ventures
lark,Asset Management Ventures
LiquidM,Asset Management Ventures
Integrated Diagnostics,Asset Management Ventures
Maverix Biomics,Asset Management Ventures
Fiberstar,Associated Bank
METEOR Network,Assya Capital
Navegg,Astella Investimentos
HelpSaœde.com,Astella Investimentos
Inimex Pharmaceuticals,Astellas Venture Management
F2G,Astellas Venture Management
Intradigm Corporation,Astellas Venture Management
Viamet Pharmaceuticals,Astellas Venture Management
Epizyme,Astellas Venture Management
Fate Therapeutics,Astellas Venture Management
Lectus Therapeutics,Astellas Venture Management
Nereus Pharmaceuticals,Astellas Venture Management
DecImmune Therapeutics,Astellas Venture Management
Verastem,Astellas Venture Management
Cleave Biosciences,Astellas Venture Management
PhaseBio Pharmaceuticals,Astellas Venture Management
F2G,Astellas Venture Management
Bicycle Therapeutics,Astellas Venture Management
DecImmune Therapeutics,Astellas Venture Management
Effector Therapeutics,Astellas Venture Management
Cleave Biosciences,Astellas Venture Management
Crescendo Biologics,Astellas Venture Management
Solairedirect,Aster Capital
CPower,Aster Capital
Tiempo,Aster Capital
SemiSouth Laboratories,Aster Capital
Agilence,Aster Capital
CPower,Aster Capital
TRONICS GROUP,Aster Capital
Microbridge Technologies Canada,Aster Capital
Ioxus,Aster Capital
Avantium Technologies,Aster Capital
Lucibel,Aster Capital
EcoFactor,Aster Capital
BuildingIQ,Aster Capital
FibeRio,Aster Capital
EcoFactor,Aster Capital
Lucibel,Aster Capital
Iceotope,Aster Capital
RenovoRx,Astia Angels
Sterecycle,Aston Hill Financial
Breker Verification Systems,Astor Capital Group
El Corral,Astor Capital Group
Alter-G,Astrolabe Ventures
Alter-G,Astrolabe Ventures
Maker Studios,Astrolabe Ventures
commercetools,Astutia Ventures
Mister Spex,Astutia Ventures
Luxury Fashion Trade,Astutia Ventures
commercetools,Astutia Ventures
Repair Report,ASU Edson Entrepreneurship Initiative
immatics biotechnologies,AT Impf
immatics biotechnologies,AT Impf
GCT Semiconductor,AT Ventures
iPrint,AT&T Intellectual Property
OnLive,AT&T Intellectual Property
picoChip,AT&T Intellectual Property
Atrica,AT&T Intellectual Property
ASSIA,AT&T Intellectual Property
VMIX Media,ATA Ventures
PixSense,ATA Ventures
Billeo,ATA Ventures
RipCode,ATA Ventures
RipCode,ATA Ventures
Zoosk,ATA Ventures
Trilibis,ATA Ventures
EoPlex Technologies,ATA Ventures
Altierre,ATA Ventures
Actelis Networks,ATA Ventures
RipCode,ATA Ventures
Altierre,ATA Ventures
Red Condor,ATA Ventures
MediaPhy,ATA Ventures
Shocking Technologies,ATA Ventures
FastScaleTechnology,ATA Ventures
Luminary Micro,ATA Ventures
Rivulet Communications,ATA Ventures
Actelis Networks,ATA Ventures
FastScaleTechnology,ATA Ventures
Actelis Networks,ATA Ventures
Zoosk,ATA Ventures
NeoPhotonics,ATA Ventures
YottaMark,ATA Ventures
Shocking Technologies,ATA Ventures
PureWave Networks,ATA Ventures
Jobvite,ATA Ventures
AdventEnna,ATA Ventures
Actelis Networks,ATA Ventures
VMIX Media,ATA Ventures
Zoosk,ATA Ventures
EoPlex Technologies,ATA Ventures
Zoosk,ATA Ventures
NanoGram,ATA Ventures
YottaMark,ATA Ventures
Orbit Media,ATA Ventures
Shocking Technologies,ATA Ventures
Red Condor,ATA Ventures
Synfora,ATA Ventures
NeoPhotonics,ATA Ventures
Liquid Computing,ATA Ventures
Cswitch,ATA Ventures
NanoGram,ATA Ventures
TeleCIS Wireless,ATA Ventures
MediaPhy,ATA Ventures
Liquid Computing,ATA Ventures
Altierre,ATA Ventures
ReVera,ATA Ventures
Agistics,ATA Ventures
Argyle Data,ATA Ventures
EdgeWave Inc.,ATA Ventures
Clustrix,ATA Ventures
Jobvite,ATA Ventures
Milyoni,ATA Ventures
Shocking Technologies,ATA Ventures
SalesPortal,ATA Ventures
Milyoni,ATA Ventures
Kazaana,ATA Ventures
PureWave Networks,ATA Ventures
Visage Mobile,ATA Ventures
Clustrix,ATA Ventures
YottaMark,ATA Ventures
Clustrix,ATA Ventures
Argyle Data,ATA Ventures
Adesto Technologies,ATA Ventures
Argyle Data,ATA Ventures
AccelOps,ATA Ventures
Clustrix,ATA Ventures
Zoosk,ATA Ventures
Billeo,ATA Ventures
Kazaana,ATA Ventures
OpSource,ATEL Ventures
Enerkem,ATEL Ventures
IntelePeer,ATEL Ventures
Reply! Inc.,ATEL Ventures
NexPlanar,ATEL Ventures
SolFocus,ATEL Ventures
iPierian,ATEL Ventures
EdeniQ,ATEL Ventures
Altheos,Atheneos Capital
Sendio,Athenian Venture Partners
LigoCyte Pharmaceuticals,Athenian Venture Partners
Akebia Therapeutics,Athenian Venture Partners
Comet Solutions,Athenian Venture Partners
Cyber-Rain,Athenian Venture Partners
Akebia Therapeutics,Athenian Venture Partners
Akebia Therapeutics,Athenian Venture Partners
Comet Solutions,Athenian Venture Partners
Prioria Robotics,Athenian Venture Partners
Aerpio Therapeutics,Athenian Venture Partners
Akebia Therapeutics,Athenian Venture Partners
Pacejet Logistics,Athenian Venture Partners
Aerpio Therapeutics,Athenian Venture Partners
Microfabrica,Atherton Venture Partners
BioFire Diagnostics,Athyrium Opportunities Fund
SynCardia Systems,Athyrium Opportunities Fund
BioFire Diagnostics,Athyrium Opportunities Fund
TRIA Beauty,Athyrium Opportunities Fund
TRIA Beauty,Athyrium Opportunities Fund
InnoPharma,Athyrium Opportunities Fund
CoreOptics,Atila Venture
CoreOptics,Atila Venture
CoreOptics,Atila Venture
NemeriX,Atila Venture
BeamExpress,Atila Venture
NemeriX,Atila Venture
ASAN Security Technologies,Atine Group Oy
Verdeeco,Atlanta Technology Angels
HireIQ Solutions,Atlanta Technology Angels
Wisegate,Atlanta Technology Angels
Variable,Atlanta Technology Angels
StarMobile,Atlanta Technology Angels
GetOne Rewards,Atlanta Technology Angels
WISE s.r.l,Atlante Seeds
Igea,Atlante Ventures
ADmantX,Atlante Ventures
YOGITECH,Atlante Ventures
Samares,Atlante Ventures
Pantea,Atlante Ventures
ADmantX,Atlante Ventures
remocean,Atlante Ventures Mezzogiorno
iCoolhunt,Atlante Ventures Mezzogiorno
ADmantX,Atlante Ventures Mezzogiorno
iCoolhunt,Atlante Ventures Mezzogiorno
Personal Factory,Atlante Ventures Mezzogiorno
Envivio,Atlantic Bridge
Firecomms,Atlantic Bridge
Nanotech Semiconductor,Atlantic Bridge
Biosensia,Atlantic Bridge
Envivio,Atlantic Bridge
Panda Security,Atlantic Bridge
Nanotech Semiconductor,Atlantic Bridge
GloNav,Atlantic Bridge
Firecomms,Atlantic Bridge
Acision,Atlantic Bridge
Nanotech Semiconductor,Atlantic Bridge
PolarLake,Atlantic Bridge
SiliconBlue Technologies,Atlantic Bridge
Biosensia,Atlantic Bridge
Quixey,Atlantic Bridge
Swrve,Atlantic Bridge
invi,Atlantic Bridge
Sophia Search,Atlantic Bridge
Movidius,Atlantic Bridge
invi,Atlantic Bridge
Maginatics,Atlantic Bridge
Maginatics,Atlantic Bridge
BlueData Software,Atlantic Bridge
Quixey,Atlantic Bridge
Ozmo Devices,Atlantic Bridge
Envivio,Atlantic Bridge
GigaTrust,Atlantic Capital Group
Tape TV,Atlantic Capital Group
Quandoo,Atlantic Capital Partners
Quandoo,Atlantic Capital Partners
TORCH.sh,Atlantic Capital Partners
AdEspresso,Atlantic Capital Partners
Quandoo,Atlantic Capital Partners
Anchor Bay Technologies,Atlantic Quantum
Essensium,Atlantic Quantum
Escapia,Atlas Accelerator
Marketfish,Atlas Accelerator
MOO.COM,Atlas Venture
Gotuit,Atlas Venture
Dailymotion,Atlas Venture
Songbird,Atlas Venture
Shozu,Atlas Venture
Shozu,Atlas Venture
Seatwave,Atlas Venture
Seatwave,Atlas Venture
Seatwave,Atlas Venture
Shozu,Atlas Venture
SimpleTuition,Atlas Venture
SimpleTuition,Atlas Venture
VirtualLogix,Atlas Venture
VirtualLogix,Atlas Venture
Inspirational Stores,Atlas Venture
Extend Media,Atlas Venture
NTRglobal,Atlas Venture
Veracode,Atlas Venture
OwnerIQ,Atlas Venture
OwnerIQ,Atlas Venture
DisplayLink,Atlas Venture
SimpleTuition,Atlas Venture
Zoopla,Atlas Venture
CloudSwitch,Atlas Venture
Xelerated,Atlas Venture
Bit9,Atlas Venture
Lilliputian Systems,Atlas Venture
DataXu,Atlas Venture
Kalido,Atlas Venture
Seatwave,Atlas Venture
Stromedix,Atlas Venture
Miragen Therapeutics,Atlas Venture
Icera,Atlas Venture
Mascoma,Atlas Venture
Veracode,Atlas Venture
MiaSol_,Atlas Venture
CloudSwitch,Atlas Venture
Xelerated,Atlas Venture
VideoIQ,Atlas Venture
Advanced Electron Beams,Atlas Venture
Ubiquisys,Atlas Venture
EnglishCentral,Atlas Venture
Dailymotion,Atlas Venture
picoChip,Atlas Venture
OwnerIQ,Atlas Venture
DisplayLink,Atlas Venture
On-Q-ity,Atlas Venture
Liquid Machines,Atlas Venture
Pixtronix,Atlas Venture
Pixtronix,Atlas Venture
E Ink,Atlas Venture
Molecular Biometrics,Atlas Venture
Icera,Atlas Venture
Veracode,Atlas Venture
picoChip,Atlas Venture
Extend Media,Atlas Venture
Marathon Technologies,Atlas Venture
Active Endpoints,Atlas Venture
Active Endpoints,Atlas Venture
Kalido,Atlas Venture
DataXu,Atlas Venture
VideoIQ,Atlas Venture
Zafgen,Atlas Venture
Adnexus,Atlas Venture
f-star Biotech,Atlas Venture
Stromedix,Atlas Venture
Extend Media,Atlas Venture
Bluespec,Atlas Venture
Bit9,Atlas Venture
Liquid Machines,Atlas Venture
Veracode,Atlas Venture
Xytis,Atlas Venture
Neurotech,Atlas Venture
Adnexus,Atlas Venture
Scali,Atlas Venture
