"","Name","raised_amount_usd"
"Ted Meisel","Ted Meisel",2250000
"Tenaya Capital","Tenaya Capital",13555233.6557377
"TenOneTen Ventures","TenOneTen Ventures",4675000
"Terra Rossa Capital","Terra Rossa Capital",4500000
"The Entrepreneurs' Fund III","The Entrepreneurs' Fund III",6236363.63636364
"The North West Fund","The North West Fund",960955.309523809
"The Westly Group","The Westly Group",20726466.6666667
"Third Rock Ventures","Third Rock Ventures",21082245.7346939
"Thrive Capital","Thrive Capital",10834891.3043478
"Tiger Global Management","Tiger Global Management",43358860.4255319
"TLcom Capital Partners","TLcom Capital Partners",11827495.4545455
"TomorrowVentures","TomorrowVentures",11495833.3333333
"TowerBrook Capital Partners","TowerBrook Capital Partners",17925000
"Trailblazer Capital","Trailblazer Capital",2614285.71428571
"Transmedia Capital","Transmedia Capital",6171458.20833333
"Trestle Ventures","Trestle Ventures",1342500
"Triangle Peak Partners","Triangle Peak Partners",15336656.6666667
"Tribeca Venture Partners","Tribeca Venture Partners",7823611.11111111
"Trident Capital","Trident Capital",9994312.5
"Trinity Ventures","Trinity Ventures",6010315.97837838
"TriStar Technology Ventures","TriStar Technology Ventures",1164000
"True Ventures","True Ventures",2994197.28504673
"TTP Ventures","TTP Ventures",6823084.8
"TVM Capital","TVM Capital",17745229.4117647
"Union Square Ventures","Union Square Ventures",6360284.72
"Uniseed Pty","Uniseed Pty",7463299
"Updata Partners","Updata Partners",14248484.8484848
"Upfront Ventures","Upfront Ventures",8479175.73134328
"US Venture Partners","US Venture Partners",10344197.7816594
"Valar Ventures","Valar Ventures",18700000
"Valhalla Partners","Valhalla Partners",7084006.44117647
"Vanedge Capital","Vanedge Capital",3937389.7
"VantagePoint Capital Partners","VantagePoint Capital Partners",22971545.784
"Vast Ventures","Vast Ventures",2596666.66666667
"VegasTechFund","VegasTechFund",1703800
"Venrock","Venrock",8830552.2893617
"Ventech","Ventech",10220495.1147541
"Ventures West","Ventures West",13636726.2222222
"Verizon Ventures","Verizon Ventures",7348412.11764706
"Versant Ventures","Versant Ventures",15595105.5505618
"Version One Ventures","Version One Ventures",2922408.33333333
"Vertex Venture Capital","Vertex Venture Capital",9073500
"Vicente Capital Partners","Vicente Capital Partners",6833333.33333333
"Village Ventures","Village Ventures",4730833.33333333
"Virgin Green Fund","Virgin Green Fund",20300000
"Vista Equity Partners","Vista Equity Partners",2.5e+08
"Volition Capital","Volition Capital",12212500
"Voyager Capital","Voyager Capital",5711250
"Vulcan Capital","Vulcan Capital",19458510.6382979
"Walden Venture Capital","Walden Venture Capital",9609354.46428571
"Wasabi Ventures","Wasabi Ventures",607500
"Webb Investment Network","Webb Investment Network",5346140
"Wellington Financial","Wellington Financial",4421428.57142857
"Wellington Partners","Wellington Partners",15007206.2125
"Western Technology Investment","Western Technology Investment",6745419.73913043
"White Star Capital","White Star Capital",2513846.15384615
"Wing VC","Wing VC",2e+07
"XPV Capital","XPV Capital",8100000
"Yaletown Venture Partners","Yaletown Venture Partners",4965550.77777778
"YJ Capital","YJ Capital",5400000
"Ysios Capital","Ysios Capital",22926212.5
"Yuuwa Capital","Yuuwa Capital",2344471.53846154
"Zouk Capital","Zouk Capital",55570200
