"","Name","raised_amount_usd"
"Collaborative Fund","Collaborative Fund",3716666.66666667
"Columbia Capital","Columbia Capital",16458846.1538462
"Columbia Partners Private Capital","Columbia Partners Private Capital",2.5e+07
"Comcast Ventures","Comcast Ventures",9926301.36986301
"Conduit Ventures","Conduit Ventures",10272286
"Confrapar","Confrapar",1037500
"Connect Ventures","Connect Ventures",2643825.6
"Connecticut Innovations","Connecticut Innovations",1163819.56962025
"Core VC","Core VC",2e+06
"Correlation Ventures","Correlation Ventures",5126872.89189189
"Costanoa Venture Capital","Costanoa Venture Capital",5967857.14285714
"Covera Ventures","Covera Ventures",6397826.08695652
"Covington Funds","Covington Funds",4966666.66666667
"Cowboy Ventures","Cowboy Ventures",2838125
"Coyote Ridge Ventures","Coyote Ridge Ventures",1100000
"Creandum","Creandum",7960448
"Creathor Venture Management","Creathor Venture Management",6763252.94117647
"Credo Ventures","Credo Ventures",1160915
"Crescent Capital","Crescent Capital",5660000
"Crosscut Ventures","Crosscut Ventures",1850321.94444444
"Crosslink Capital","Crosslink Capital",10056233.3700787
"Crosspoint Venture Partners","Crosspoint Venture Partners",16663636.3636364
"CrunchFund","CrunchFund",8608674.00952381
"Cue Ball","Cue Ball",8033333.33333333
"Cultivian Ventures","Cultivian Ventures",9900000
"CVC Capital Partners","CVC Capital Partners",644000
"Cycle Capital","Cycle Capital",22146249.1666667
"Dace Ventures","Dace Ventures",5523750
"DAG Ventures","DAG Ventures",12413913.9360465
"Data Collective","Data Collective",5850298.21428571
"Data Point Capital","Data Point Capital",3062500
"Dawn Capital","Dawn Capital",12346991.5454545
"DBL Investors","DBL Investors",29241904.7619048
"DCM","DCM",12026470.3835616
"Dell Ventures","Dell Ventures",1.6e+07
"Delphi Ventures","Delphi Ventures",22298674.5714286
"Deutsche Telekom","Deutsche Telekom",32250000
"DFJ Esprit","DFJ Esprit",8898866.01694915
"DFJ Frontier","DFJ Frontier",4784431.81818182
"DFJ Gotham Ventures","DFJ Gotham Ventures",4942391.30434783
"DFJ Growth","DFJ Growth",44209485.7142857
"DN Capital","DN Capital",7700761.02702703
"Domain Associates","Domain Associates",16858558.8076923
"Double M Partners","Double M Partners",2083299.77272727
"DoubleRock","DoubleRock",2850000
"Draper Fisher Jurvetson (DFJ)","Draper Fisher Jurvetson (DFJ)",6934792.88793103
"Drive Capital","Drive Capital",6166666.66666667
"Dumont Venture","Dumont Venture",5453721.42857143
"Dynamics Venture Capital Fund","Dynamics Venture Capital Fund",8860386
"e.Bricks Digital","e.Bricks Digital",250000
"e.ventures","e.ventures",6891921.01333333
"Earlybird Venture Capital","Earlybird Venture Capital",10863896.744186
"Earthrise Capital Partners","Earthrise Capital Partners",3200000
"Easton Capital","Easton Capital",14411635.7241379
"EC1 Capital Ltd","EC1 Capital Ltd",1059151
"EchoVC Partners","EchoVC Partners",6e+05
"ECI Partners","ECI Partners",20942089
"Ecosystem Ventures","Ecosystem Ventures",1627561.77777778
"Eden Ventures","Eden Ventures",8771109.04761905
"Edison Ventures","Edison Ventures",3644499.7125
"El Dorado Ventures","El Dorado Ventures",10466363.6363636
"Elevate Ventures","Elevate Ventures",847170
"EMBL Ventures","EMBL Ventures",15485033.3333333
"Emergence Capital Partners","Emergence Capital Partners",10904405.4444444
"EnerTech Capital","EnerTech Capital",13258470.8333333
"Enjoyventure Management","Enjoyventure Management",5794976
"Enterprise Equity Limited","Enterprise Equity Limited",3824343.84615385
"Enterprise Ireland","Enterprise Ireland",2552315.27956989
"Environmental Technologies Fund","Environmental Technologies Fund",12350000
"Epiphany Ventures","Epiphany Ventures",5e+06
"ESB Novusmodus","ESB Novusmodus",6817952
"European Equity Partners","European Equity Partners",41095600
"Evergreen Venture Partners","Evergreen Venture Partners",6925608.12068965
"EVP Capital Management","EVP Capital Management",3910666.66666667
"Extremadura Avante","Extremadura Avante",326300
"Fairhaven Capital Partners","Fairhaven Capital Partners",8768750
"Felicis Ventures","Felicis Ventures",5936725.12162162
"Fenox Venture Capital","Fenox Venture Capital",3225000
"ff Venture Capital","ff Venture Capital",3634538.6969697
"Fidelity Growth Partners Europe","Fidelity Growth Partners Europe",11569822.75
"Fidelity Ventures","Fidelity Ventures",33465644.06
"Finance Wales","Finance Wales",2728872.96774194
"Finaves S.C.R.","Finaves S.C.R.",1159100
"Fir Capital","Fir Capital",3e+06
"First Round Capital","First Round Capital",3793761.31871345
"FirstMark Capital","FirstMark Capital",12698732.8901099
"Flagship Ventures","Flagship Ventures",13211236.3195876
"FLOODGATE","FLOODGATE",3615077.46511628
"Flybridge Capital Partners","Flybridge Capital Partners",8233609.4954955
"Focus Ventures","Focus Ventures",11057692.3076923
"Foragen Technologies Management","Foragen Technologies Management",1600000
"Forerunner Ventures","Forerunner Ventures",5592833.7037037
"Foresite Capital","Foresite Capital",22333333.3333333
"Formation 8","Formation 8",13798846.1538462
"Foundation Capital","Foundation Capital",9767231.44221106
"Founder Collective","Founder Collective",1548420.29746835
"Founder's Co-op","Founder's Co-op",1680935.36585366
"Founders Fund","Founders Fund",12792033.9055118
"Foundry Group","Foundry Group",4226582.76068376
"Fountain Healthcare Partners","Fountain Healthcare Partners",19551707.1428571
"Four Rivers Group","Four Rivers Group",13875000
"Frazier Healthcare Ventures","Frazier Healthcare Ventures",18914635.9811321
"Frazier Technology Ventures","Frazier Technology Ventures",11980769.2307692
"Freestyle Capital","Freestyle Capital",1980408.15555556
"Frog Capital","Frog Capital",7610859.5
"Fuel Capital","Fuel Capital",1425000
"FundersClub","FundersClub",2590858.39130435
"Fung Capital USA","Fung Capital USA",9391666.66666667
"Gamma Capital Partners","Gamma Capital Partners",4769466.66666667
"Gemini Israel Ventures","Gemini Israel Ventures",5589376.01333333
"General Atlantic","General Atlantic",74415155.2941176
"General Catalyst Partners","General Catalyst Partners",9422761.43801653
"Genesis Partners","Genesis Partners",7097500
"Genesys Capital","Genesys Capital",14886666.6666667
"GENIUS Venture Capital","GENIUS Venture Capital",1020137.5
"Genwealth Venture Partners","Genwealth Venture Partners",2e+06
"Georgian Partners","Georgian Partners",19740492.125
"GGV Capital","GGV Capital",15091964.2857143
"Gimv","Gimv",18114079.5172414
"Global Founders Capital","Global Founders Capital",5192085.66666667
"Global Life Science Ventures","Global Life Science Ventures",15430000
"Globespan Capital Partners","Globespan Capital Partners",9344612.06034483
"Glynn Capital Management","Glynn Capital Management",46223809.5238095
"Golden Gate Ventures","Golden Gate Ventures",1506250
"Golden Venture Partners","Golden Venture Partners",4575519.53333333
"Goldman Sachs","Goldman Sachs",35670856.46
"Google Ventures","Google Ventures",7846781.89400922
"GrandBanks Capital","GrandBanks Capital",6521085.28205128
"Granite Ventures","Granite Ventures",6492939.98823529
"Great Oaks Venture Capital","Great Oaks Venture Capital",1959211.73076923
"Greycroft Partners","Greycroft Partners",4918899.67479675
"Greylock Partners","Greylock Partners",12789590.0033445
"GrowthWorks Capital","GrowthWorks Capital",8650984.10638298
"GSV Capital","GSV Capital",22153122.037037
"Hamilton BioVentures","Hamilton BioVentures",32580000
"Harris & Harris Group","Harris & Harris Group",11872322.8571429
"Harrison Metal Capital","Harrison Metal Capital",5839777.76190476
"Helion Venture Partners","Helion Venture Partners",8380020.90909091
"High Line Venture Partners","High Line Venture Partners",2789473.68421053
"High Peaks Venture Partners","High Peaks Venture Partners",3395000
"Highgrowth Partners","Highgrowth Partners",2003364.28571429
"Highland Capital Partners","Highland Capital Partners",10452519.0858369
"Highway 12 Ventures","Highway 12 Ventures",4716515.63636364
"HLM Venture Partners","HLM Venture Partners",13129930.195122
"Howzat Partners","Howzat Partners",1515251
"Hudson Ventures","Hudson Ventures",7024444.44444444
"Hummer Winblad Venture Partners","Hummer Winblad Venture Partners",6566091.94252874
"HV Holtzbrinck Ventures","HV Holtzbrinck Ventures",12406937.5
"Hyde Park Venture Partners","Hyde Park Venture Partners",1484615.38461538
"IA Ventures","IA Ventures",4700022.10169492
"Idealab","Idealab",16035000
"IDG Ventures","IDG Ventures",6334446.98076923
"IDG Ventures USA","IDG Ventures USA",7800000
"IDInvest Partners","IDInvest Partners",12135123.265625
"Ignition Partners","Ignition Partners",6344539.47368421
"Illuminate Ventures","Illuminate Ventures",12681818.1818182
"Imlay Investments","Imlay Investments",5895681.81818182
"Imperious Group","Imperious Group",250000
"In-Q-Tel","In-Q-Tel",10788127.5217391
"Index Ventures","Index Ventures",10584705.9238754
"India Quotient","India Quotient",155000
"Initialized Capital","Initialized Capital",1308333.33333333
"InnoCal Venture Capital","InnoCal Venture Capital",14368750
"Innovacom","Innovacom",8022409.58928571
"Innovacorp","Innovacorp",3609071.125
"Innovation Capital","Innovation Capital",8843050
"iNovia Capital","iNovia Capital",4541541.28235294
"Insight Venture Partners","Insight Venture Partners",30190582.125
"Institutional Venture Partners","Institutional Venture Partners",23492614.4578313
"INTEC IT Capital","INTEC IT Capital",4200000
"Intel Capital","Intel Capital",7230341.38266385
"Intelligent Venture Capital","Intelligent Venture Capital",767000
"InterWest Partners","InterWest Partners",9727519.43428571
"Inventages Venture Capital Investment Inc.","Inventages Venture Capital Investment Inc.",12356995.2666667
"Inventus Capital Partners","Inventus Capital Partners",2745500
"Investor AB","Investor AB",1.5e+07
"Investor Growth Capital","Investor Growth Capital",14231628.6790123
"IP Group Plc","IP Group Plc",7836945.43333333
"IQ Capital Partners","IQ Capital Partners",2936236.58823529
"Jafco Ventures","Jafco Ventures",8266010.94845361
"Javelin Venture Partners","Javelin Venture Partners",4093846.15384615
"Jerusalem Venture Partners","Jerusalem Venture Partners",9445098.03921569
"JMI Equity","JMI Equity",17249024.3902439
