company_name,investor_name,investor_category_code,funded_year
WOWIO,Alliance Acquisitions,other,2010
Hone and Strop,Alliance Acquisitions,other,2012
The New Motion,Alliander,,2013
The New Motion,Alliander,,2012
Innalabs Holding,Allianz Life Insurance,,2010
Seismo-Shelf,Allianz Life Insurance,,2010
Allied Pacific Sports Network,Allied Pacific Group,,2010
My Dog Bowl,Alpha Wolf Investments,,2013
Speaktoit,Alpine,mobile,2012
Speaktoit,Alpine,mobile,2014
Brammo,Alpine Energy,cleantech,2011
Duriana,Alps Ventures,,2013
Artsy,Alt Option Return,,2010
BoostCTR,Alt Option Return,,2011
popexpert,Alt Option Return,,2013
Highwinds,Alta Communications,public_relations,2008
CombineNet,Alta Communications,public_relations,2010
Mr. Youth,Alta Communications,public_relations,2009
Customcells,Altana,,2013
Orugga,Altergaia,consulting,2008
Gucash,Altergaia,consulting,2010
Bueeno,Altergaia,consulting,2009
Platypus Platform,Alternative-Soft,,2012
Alti Semiconductor,Alti-electronics,,2009
Histros,Alving,,2012
Yapta,Amadeus,other,2013
WeAre.Us,Amarin NeuroScience,biotech,2008
delicious,Amazon,ecommerce,2005
Wikia,Amazon,ecommerce,2006
Amie Street,Amazon,ecommerce,2007
Shelfari,Amazon,ecommerce,2007
Bill Me Later,Amazon,ecommerce,2007
Engine Yard,Amazon,ecommerce,2008
Elastra,Amazon,ecommerce,2008
Yieldex,Amazon,ecommerce,2009
The Talk Market,Amazon,ecommerce,2008
BookTour,Amazon,ecommerce,2009
Foodista,Amazon,ecommerce,2009
Animoto,Amazon,ecommerce,2009
Engine Yard,Amazon,ecommerce,2009
Cirtas Systems,Amazon,ecommerce,2010
LivingSocial,Amazon,ecommerce,2010
Sonian,Amazon,ecommerce,2010
LivingSocial,Amazon,ecommerce,2011
Animoto,Amazon,ecommerce,2011
ParAccel,Amazon,ecommerce,2011
Songza,Amazon,ecommerce,2011
LivingSocial,Amazon,ecommerce,2011
Videolicious,Amazon,ecommerce,2012
Songza,Amazon,ecommerce,2013
Videolicious,Amazon,ecommerce,2013
DramaFever,AMC Networks,,2012
DanceOn,AMC Networks,,2013
ViVu,AMD,hardware,2011
Amobee,Amdocs,web,2009
Shazam Entertainment,Am_rica M—vil,mobile,2013
mobli,Am_rica M—vil,mobile,2013
UtiliData,American Electric Power,,2013
OpenTable,American Express,other,2000
Deem,American Express,other,2006
Deem,American Express,other,2008
Payfone,American Express,other,2011
Deem,American Express,other,2011
Clickable,American Express,other,2011
iZettle,American Express,other,2012
Ness Computing,American Express,other,2012
Warby Parker,American Express,other,2013
Rent the Runway,American Express,other,2013
Radius Inc.,American Express,other,2013
SavingStar,American Express,other,2013
Wrapp,American Express,other,2013
Fancy,American Express,other,2013
SumUp,American Express,other,2013
LearnVest,American Express,other,2013
Kiip,American Express,other,2013
IfOnly,American Express,other,2013
Bill.com,American Express,other,2013
Shoutlet,American Family Insurance,,2010
Revolv,American Family Insurance,,2013
Retrofit,American Medical Association,education,2013
NxThera,American Medical Systems,,2011
121nexus,"American Pioneer Ventures, Ltd",,2012
Gather,American Public Media,other,2004
Gather,American Public Media,other,2009
Fidelis,American Public University Stytem,,2013
Presidio,American Securities,other,2011
Miragen Therapeutics,Amgen,biotech,2009
InteKrin,Amgen,biotech,2008
Calistoga Pharmaceuticals,Amgen,biotech,2009
Epizyme,Amgen,biotech,2009
Trinity Biosystems,Amgen,biotech,2009
Allozyne,Amgen,biotech,2007
Calistoga Pharmaceuticals,Amgen,biotech,2007
Cutting Edge Information,Amgen,biotech,2007
VLST Corporation,Amgen,biotech,2006
Avidia,Amgen,biotech,2006
Viron Therapeutics,Amgen,biotech,2006
Trinity Biosystems,Amgen,biotech,2006
Calistoga Pharmaceuticals,Amgen,biotech,2010
Avidia,Amgen,biotech,2005
PTC Therapeutics,Amgen,biotech,2005
Theraclone Sciences,Amgen,biotech,2010
TetraLogic Pharmaceuticals,Amgen,biotech,2010
Allozyne,Amgen,biotech,2005
DecImmune Therapeutics,Amgen,biotech,2010
Sutro Biopharma,Amgen,biotech,2010
Acylin Therapeutics,Amgen,biotech,2011
Oncofactor Corporation,Amgen,biotech,2011
Ardelyx,Amgen,biotech,2011
