company_name,investor_name,investor_category_code,funded_year
Reactor Inc.,Eniac Ventures,,2013
Hinge,Eniac Ventures,,2013
Shake,Eniac Ventures,,2013
TapCommerce,Eniac Ventures,,2013
Jump Ramp Games,Eniac Ventures,,2013
Tracks,Eniac Ventures,,2013
Change Collective,Eniac Ventures,,2014
Madvenue,ENISA,,2011
citiservi,ENISA,,2011
Linkovery,ENISA,,2011
LaComunity,ENISA,,2012
Infantium,ENISA,,2012
Testif,ENISA,,2012
FarmaciaClub,ENISA,,2013
Beebrite,ENISA,,2013
Trip4Real,ENISA,,2012
La M‡s Mona,ENISA,,2013
PayTouch,ENISA (loan),,2011
Nevigo,Enjoyventure Management,,2009
Confovis,Enjoyventure Management,,2009
VoiceObjects,Enjoyventure Management,,2006
mimoOn,Enjoyventure Management,,2006
VoiceObjects,Enjoyventure Management,,2005
Implandata Ophthalmic Products,Enjoyventure Management,,2012
Rodos BioTarget,Enjoyventure Management,,2013
1eq,Ense Group,,2013
Egalet,Enso Ventures,,2012
Seres Health,Enso Ventures,,2013
A10 Networks,Enspire Capital,,2006
A10 Networks,Enspire Capital,,2008
Authentium,Enspire Capital,,2007
Authentium,Enspire Capital,,2006
Exavio,Enspire Capital,,2006
Exavio,Enspire Capital,,2005
Centrality Communications,Enspire Capital,,2005
Quik.io,Enspire Capital,,2011
Quik.io,Enspire Capital,,2012
Transcast Media,Enspire Capital,,2012
MTPV,Ensys Capital,,2011
H2HCare,Enterprise 2000 Fund,,2006
Research Triangle Park (RTP),Enterprise Associates,,2013
Movidius,Enterprise Equity Limited,,2008
Redmere Technology,Enterprise Equity Limited,,2008
Redmere Technology,Enterprise Equity Limited,,2009
NitroSell,Enterprise Equity Limited,,2007
Mobile Cohesion,Enterprise Equity Limited,,2006
Movidius,Enterprise Equity Limited,,2010
TERMINALFOUR,Enterprise Equity Limited,,2010
Onformonics,Enterprise Equity Limited,,2010
CELtrak,Enterprise Equity Limited,,2005
Gendel,Enterprise Equity Limited,,2005
Phorest,Enterprise Equity Limited,,2011
Ideal Binary,Enterprise Equity Limited,,2011
Keelvar,Enterprise Equity Limited,,2012
AVG Technologies,Enterprise Investors,,2005
Nortal AS,Enterprise Investors,,2010
Edenbee.com,Enterprise Ireland,,2007
nooked,Enterprise Ireland,,2008
WhatClinic.com,Enterprise Ireland,,2009
Movidius,Enterprise Ireland,,2008
Kore Virtual Machines,Enterprise Ireland,,2009
Selatra,Enterprise Ireland,,2005
Xiam,Enterprise Ireland,,2004
Ticket ABC,Enterprise Ireland,,2009
Opsona,Enterprise Ireland,,2009
DataKraft,Enterprise Ireland,,2009
Clavis Technology,Enterprise Ireland,,2009
Equiendo,Enterprise Ireland,,2009
Tunepresto,Enterprise Ireland,,2007
Firecomms,Enterprise Ireland,,2009
Async Technologies,Enterprise Ireland,,2008
Redmere Technology,Enterprise Ireland,,2008
AMT (Aircraft Management Technologies),Enterprise Ireland,,2002
Zignals,Enterprise Ireland,,2007
Clavis Technology,Enterprise Ireland,,2007
PutPlace,Enterprise Ireland,,2008
Cicero Networks,Enterprise Ireland,,2008
Sentry Wireless,Enterprise Ireland,,2007
BiancaMed,Enterprise Ireland,,2009
Saaspoint,Enterprise Ireland,,2009
MPSTOR,Enterprise Ireland,,2009
Dial2Do,Enterprise Ireland,,2009
Intune Networks,Enterprise Ireland,,2009
Redmere Technology,Enterprise Ireland,,2009
Biosensia,Enterprise Ireland,,2008
Beyond Encryption Technologies,Enterprise Ireland,,2009
Blastbeat,Enterprise Ireland,,2007
WhoseView.ie,Enterprise Ireland,,2009
AdaptiveMobile,Enterprise Ireland,,2006
ChipSensors,Enterprise Ireland,,2007
Cinario,Enterprise Ireland,,2006
Lightstorm Networks,Enterprise Ireland,,2006
ChipSensors,Enterprise Ireland,,2010
SolarPrint,Enterprise Ireland,,2010
ResourceKraft,Enterprise Ireland,,2010
Onformonics,Enterprise Ireland,,2010
CELtrak,Enterprise Ireland,,2005
DecaWave,Enterprise Ireland,,2009
InishTech,Enterprise Ireland,,2010
Wavebreak Media,Enterprise Ireland,,2010
Arantech,Enterprise Ireland,,2005
CAPE Technologies,Enterprise Ireland,,2005
Gridstore,Enterprise Ireland,,2010
britebill,Enterprise Ireland,,2010
ServiceFrame,Enterprise Ireland,,2011
Digital Mines,Enterprise Ireland,,2011
Radisens Diagnostics,Enterprise Ireland,,2011
MuteButton,Enterprise Ireland,,2011
Lighthouse BCS,Enterprise Ireland,,2011
Phorest,Enterprise Ireland,,2011
Swrve,Enterprise Ireland,,2011
neoSurgical,Enterprise Ireland,,2011
CurrencyFair,Enterprise Ireland,,2011
Ikon Semiconductor,Enterprise Ireland,,2011
Ideal Binary,Enterprise Ireland,,2011
Profitero,Enterprise Ireland,,2011
EpiSensor,Enterprise Ireland,,2011
RedT,Enterprise Ireland,,2011
Betapond,Enterprise Ireland,,2012
Nomos Software,Enterprise Ireland,,2012
Wavebreak Media,Enterprise Ireland,,2012
XINTEC,Enterprise Ireland,,2012
Copperfasten,Enterprise Ireland,,2012
In Hand Guides,Enterprise Ireland,,2012
Keelvar,Enterprise Ireland,,2012
Gridstore,Enterprise Ireland,,2012
farmflo,Enterprise Ireland,,2012
Digit Game Studios,Enterprise Ireland,,2013
Amartus,Enterprise Ireland,,2013
swiftQueue,Enterprise Ireland,,2012
Zinc software,Enterprise Ireland,,2013
Popdeem,Enterprise Ireland,,2012
FeedHenry,Enterprise Ireland,,2013
Cubic Telecom,Enterprise Ireland,,2013
Soundwave,Enterprise Ireland,,2012
BlikBook,Enterprise Ireland,,2013
Kitman Labs,Enterprise Ireland,,2012
Instant Opinion,Enterprise Ireland,,2013
NewsWhip,Enterprise Ireland,,2013
Tapastreet,Enterprise Ireland,,2013
Von Bismark,Enterprise Ireland,,2013
Cluey,Enterprise Ireland,,2013
Kitman Labs,Enterprise Ireland,,2013
wripl,Enterprise Ireland,,2013
Trustev,Enterprise Ireland,,2013
HeyStaks,Enterprise Ireland,,2013
Skynet Labs,Enterprise Ireland,,2012
TCAS Online,Enterprise Ireland,,2013
Evercam,Enterprise Ireland,,2013
Brandtone,Enterprise Ireland,,2011
WhatSalon,Enterprise Ireland,,2013
Metabolomic Diagnostics,Enterprise Ireland,,2014
PR Slides,Enterprise Ireland,,2014
Synference,Enterprise Ireland,,2013
LearnUpon,Enterprise Ireland,,2014
Guidecentral,Enterprise Ireland,,2013
VMIX Media,Enterprise Partners,,2006
VMIX Media,Enterprise Partners,,2007
ACTIVE Network,Enterprise Partners,,2000
ACTIVE Network,Enterprise Partners,,2004
Specific Media,Enterprise Partners,,2006
3Leaf,Enterprise Partners,,2007
Hammerhead Systems,Enterprise Partners,,2007
TradeBeam,Enterprise Partners,,2007
Interactive Fitness,Enterprise Partners,,2007
Interactive Fitness,Enterprise Partners,,2008
ReliOn,Enterprise Partners,,2008
3Leaf,Enterprise Partners,,2008
Breach Security,Enterprise Partners,,2009
Breach Security,Enterprise Partners,,2008
Interactive Fitness,Enterprise Partners,,2009
Complete Genomics,Enterprise Partners,,2009
TradeBeam,Enterprise Partners,,2009
VMIX Media,Enterprise Partners,,2009
Celladon,Enterprise Partners,,2009
Nexx Systems,Enterprise Partners,,2009
ReliOn,Enterprise Partners,,2008
Breach Security,Enterprise Partners,,2006
Hammerhead Systems,Enterprise Partners,,2006
Pivotal Systems,Enterprise Partners,,2006
Txt4,Enterprise Partners,,2006
Complete Genomics,Enterprise Partners,,2006
XIFIN,Enterprise Partners,,2006
Quorum Systems,Enterprise Partners,,2006
Tarari,Enterprise Partners,,2006
Kalon Semiconductor,Enterprise Partners,,2006
Novera Optics,Enterprise Partners,,2006
IdenTrust,Enterprise Partners,,2005
Celladon,Enterprise Partners,,2005
Preventsys,Enterprise Partners,,2005
Complete Genomics,Enterprise Partners,,2010
NP Photonics,Enterprise Partners,,2005
NP Photonics,Enterprise Partners,,2005
Quorum Systems,Enterprise Partners,,2005
SKY MobileMedia,Enterprise Partners,,2006
Caspian Learning,Enterprise Ventures,,2008
ensembli,Enterprise Ventures,,2009
eoSemi,Enterprise Ventures,,2009
Wadaro Limited,Enterprise Ventures,,2007
Yuuguu,Enterprise Ventures,,2006
Honeycomb Security Solutions,Enterprise Ventures,,2007
Biofortuna,Enterprise Ventures,,2010
eoSemi,Enterprise Ventures,,2010
Caspian Learning,Enterprise Ventures,,2005
Covelus,Enterprise Ventures,,2005
Altacor,Enterprise Ventures,,2011
Peckforton Pharmaceuticals,Enterprise Ventures,,2012
Evgen,Enterprise Ventures,,2012
Powelectrics,Enterprise Ventures,,2012
Tyres on the Drive,Enterprise Ventures,,2013
Xeros,Enterprise Ventures,,2013
Starfish 360,Enterprise Ventures,,2013
Fourteen IP,Enterprise Ventures,,2013
AppLearn,Enterprise Ventures,,2013
Woodall Nicholson Group,Enterprise Ventures,,2013
Biofortuna,Enterprise Ventures,,2013
Knight Warner,Enterprise Ventures,,2013
Jobs The Word,Enterprise Ventures,,2013
Telepath,Enterprise Ventures,,2013
Azullo,Enterprise Ventures,,2013
ChargePoint Technology,Enterprise Ventures,,2013
Soccer Manager,Enterprise Ventures,,2013
HipLogic,Entertainment Ventures,,2009
Harvest Automation,Entree Capital,,2011
Dragonplay,Entree Capital,,2012
zappit,Entree Capital,,2012
daPulse,Entree Capital,,2012
DeckDAQ,Entree Capital,,2012
Zigi Games Ltd,Entree Capital,,2012
Pounce,Entree Capital,,2012
SeatGeek,Entree Capital,,2012
YEVVO,Entree Capital,,2013
YEVVO,Entree Capital,,2013
Riskified,Entree Capital,,2013
Scan,Entree Capital,,2013
Visualead,Entree Capital,,2013
Harvest Automation,Entree Capital,,2013
Achronix Semiconductor,Entrepia Ventures,,2007
Vantrix,Entrepia Ventures,,2007
Achronix Semiconductor,Entrepia Ventures,,2008
Intransa,Entrepia Ventures,,2008
Intransa,Entrepia Ventures,,2007
Intransa,Entrepia Ventures,,2009
Vantrix,Entrepia Ventures,,2010
ArchPro Design Automation,Entrepia Ventures,,2006
Intransa,Entrepia Ventures,,2010
World Wide Packets,Entrepia Ventures,,2005
Netcontinuum,Entrepia Ventures,,2005
Sprint Bioscience,EntreprenÌ_rsfonden,,2010
Visiprise,Entrepreneur Growth Fund,,2005
Boonty,Entrepreneur Venture,,2005
Agendize,Entrepreneur Venture,,2009
Maintag,Entrepreneur Venture,,2010
New Screens,Entrepreneur Venture,,2005
eNovance,Entrepreneur Venture,,2013
edjing,Entrepreneur Venture,,2013
mBlox,Entrepreneurs Fund,,2004
iPolicy Networks,Entrepreneurs Fund,,2006
iPolicy Networks,Entrepreneurs Fund,,2005
Inge Watertechnologies,Entrepreneurs Fund,,2009
VAIREX international,Entrepreneurs Fund,,2008
Evolva,Entrepreneurs Fund,,2009
Xeros,Entrepreneurs Fund,,2010
Accept Software,Entrepreneurs Fund,,2010
NovaShunt,Entrepreneurs Fund,,2011
General Fusion,Entrepreneurs Fund,,2011
General Fusion,Entrepreneurs Fund,,2009
Prosonix,Entrepreneurs Fund,,2011
SOASTA,Entrepreneurs Fund,,2011
Prosonix,Entrepreneurs Fund,,2012
InboundWriter,Entrepreneurs Fund,,2012
Xeros,Entrepreneurs Fund,,2013
Realeyes,Entrepreneurs Fund,,2013
Fits.me,Entrepreneurs Fund,,2013
Vasopharm,Entrepreneurs Fund,,2013
Exosect,Entrepreneurs Fund,,2008
Exosect,Entrepreneurs Fund,,2008
Exosect,Entrepreneurs Fund,,2009
Exosect,Entrepreneurs Fund,,2011
Exosect,Entrepreneurs Fund,,2012
Exosect,Entrepreneurs Fund,,2013
Trusted Insight,Entrepreneurs Fund,,2013
The New Motion,Entrepreneurs Fund,,2013
The New Motion,Entrepreneurs Fund,,2012
Horizon Fuel Cell Technologies,Entropy Ventures,,2008
eReceipts,Envestors Limited,,2011
eReceipts,Envestors Limited,,2013
Cipher Surgical,Envestors Limited,,2013
Loco2,Envestors Limited,,2013
Creativity Software,Envestors Private Investor Club,,2006
Escapism Media,Envestors Private Investor Club,,2007
NPS,Environmental Technologies Fund,,2008
Enablon,Environmental Technologies Fund,,2011
General Fusion,Environmental Technologies Fund,,2013
Everloop,Envoi Ventures,,2011
iRule,Envy Capital,,2011
HUNT Mobile Ads,Enzyme Venture Capital,,2011
Olapic,Enzyme Venture Capital,,2012
Assured Labor,Enzyme Venture Capital,,2013
Guidecentral,Enzyme Venture Capital,,2013
madKast,eonBusiness,,2007
Socialthing,eonBusiness,,2007
ReTel Technologies,eonBusiness,,2009
Vanilla Forums,eonBusiness,,2010
RelTel,eonBusiness,,2009
LgDb.com,eonBusiness,,2007
TeamSnap,eonBusiness,,2010
Marginize,eonBusiness,,2010
FullContact,eonBusiness,,2011
TeamSnap,eonBusiness,,2011
Circa,eonBusiness,,2012
TeamSnap,eonBusiness,,2013
Advestigo,EonTech Ventures,,2008
BeavEx,Eos Partners,,2011
LEAF Commercial Capital,Eos Partners,,2011
LEAF Commercial Capital,Eos Partners,,2011
VCharge,EOS Ventures,,2011
Maltem Consulting,EPF Partners,,2007
Mozy,EPIC Ventures,,2005
Bungee Labs,EPIC Ventures,,2005
Bungee Labs,EPIC Ventures,,2006
DivX,EPIC Ventures,,2002
DivX,EPIC Ventures,,2004
Bungee Labs,EPIC Ventures,,2008
TriCipher,EPIC Ventures,,2007
TriCipher,EPIC Ventures,,2009
HyTrust,EPIC Ventures,,2009
EverSpin Technologies,EPIC Ventures,,2008
ZettaCore,EPIC Ventures,,2009
newScale,EPIC Ventures,,2007
SparkWords,EPIC Ventures,,2008
Consolidated Energy,EPIC Ventures,,2008
Medsphere Systems,EPIC Ventures,,2009
Alliance Health Networks,EPIC Ventures,,2009
Q Holdings,EPIC Ventures,,2008
TriCipher,EPIC Ventures,,2009
Lumidigm,EPIC Ventures,,2009
HyTrust,EPIC Ventures,,2010
Scientific Media,EPIC Ventures,,2010
CopperKey,EPIC Ventures,,2006
TriCipher,EPIC Ventures,,2005
Exagen Diagnostics,EPIC Ventures,,2005
BrightTag,EPIC Ventures,,2010
Lumidigm,EPIC Ventures,,2005
Adaptive Computing,EPIC Ventures,,2010
Lefthand Networks,EPIC Ventures,,2005
Cogito,EPIC Ventures,,2005
Instructure,EPIC Ventures,,2010
Instructure,EPIC Ventures,,2011
Alliance Health Networks,EPIC Ventures,,2011
XYDO,EPIC Ventures,,2011
Zettaset,EPIC Ventures,,2011
BrightTag,EPIC Ventures,,2011
Joyent,EPIC Ventures,,2012
BrightTag,EPIC Ventures,,2012
Exagen Diagnostics,EPIC Ventures,,2012
Aspen Avionics,EPIC Ventures,,2012
Janrain,EPIC Ventures,,2013
Zettaset,EPIC Ventures,,2012
HG Data Company,EPIC Ventures,,2013
MokiMobility,EPIC Ventures,,2013
Instructure,EPIC Ventures,,2013
HyTrust,EPIC Ventures,,2013
EverSpin Technologies,EPIC Ventures,,2013
MokiMobility,EPIC Ventures,,2013
Exagen Diagnostics,EPIC Ventures,,2013
BrightTag,EPIC Ventures,,2013
iosil Energy,EPIC Ventures,,2012
Volta Industries,EPIC Ventures,,2014
Cohda Wireless,Epicorp,,2006
iLEVEL Solutions,Epiphany Ventures,,2010
Vserv.mobi,Epiphany Ventures,,2013
KDW,ePlanet Ventures,,2003
Good Technology,ePlanet Ventures,,2013
BlogCN,ePlanet Ventures,,2005
QualiLife,EPS Value Plus,,2008
ColorPlaza,EPS Value Plus,,2007
idiag,EPS Value Plus,,2007
Silentsoft,EPS Value Plus,,2010
internetstores,EQT,,2012
Avenso,EQT Holdings,,2013
Friends Around,Equintek,,2009
Nippon Renewable Energy,Equis Capital Partners,,2014
Audley Travel,Equistone Partners Europe,,2012
buuteeq,Equitas Capital Advisors,,2010
Alien Technology,Equitek Capital,,2005
My1login,Equity Gap,,2012
My1login,Equity Gap,,2013
QikServe,Equity Gap,,2012
Insignia Technologies,Equity Gap,,2013
SAMHI Hotels,Equity International,,2011
Metatomix,Equity Resources Group,,2007
Metatomix,Equity Resources Group,,2006
ContraFect,Equity Source Partners,,2010
Infinia,Equus Capital,,2008
Infinia,Equus Capital,,2008
Xtract,Eqvitec,,2008
Netadmin,Eqvitec,,2008
eBuilder,Eqvitec,,2009
Norstel,Eqvitec,,2008
Forte Netservices,Eqvitec,,2008
Voddler,Eqvitec,,2010
Netadmin,Eqvitec,,2006
Norstel,Eqvitec,,2005
Movimento Group,Eqvitec Partners Oy,,2007
Movimento Group,Eqvitec Partners Oy,,2006
AppGate Network Security,Eqvitec Partners Oy,,2006
M_SOLUTION,Eqvitec Partners Oy,,2006
Iqua,Eqvitec Partners Oy,,2006
Codenomicon,Eqvitec Partners Oy,,2005
MediSapiens,Eqvitec Partners Oy,,2010
Troux Technologies,Eqvitec Partners Oy,,2005
Locality,ER Accelerator,,2013
Kirusa,Erasmic Venture Fund,,2007
Therosteon,Erasmus MC Biomedical Fund,,2008
arGEN-X,Erasmus MC Biomedical Fund,,2009
arGEN-X,Erasmus MC Biomedical Fund,,2010
arGEN-X,Erasmus MC Biomedical Fund,,2011
Covalys Biosciences,Erfindungs Verwertung,,2005
BringIt,ErGo Media Capital,,2010
Sand9,Ericcson,,2012
RadioFrame,Ericcson Venture Partners,,2006
Atrua Technologies,Ericcson Venture Partners,,2008
CENX,Ericcson Venture Partners,,2012
Mirantis,Ericcson Venture Partners,,2013
AndroBioSys,Erie County Industrial Development Agency,,2009
igobubble,Ern Capital,,2011
TakWak,ERP Startfonds,,2010
CEVEC Pharmaceuticals,ERP Startfonds,,2010
Caprotec Bioanalytics,ERP Startfonds,,2008
Caprotec Bioanalytics,ERP Startfonds,,2010
tolingo,ERP Startfonds,,2011
CEVEC Pharmaceuticals,ERP Startfonds,,2011
Intelligent Apps (mytaxi),ERP Startfonds,,2011
Implandata Ophthalmic Products,ERP Startfonds,,2012
Rodos BioTarget,ERP Startfonds,,2013
Carritus,ESADE BAN,,2013
Wind Energy Direct,ESB Novus Modus,,2011
Geothermal International,ESB Novus Modus,,2011
Lumicity,ESB Novusmodus,,2011
Aveillant,ESB Novusmodus,,2013
Ecast,Escalate Capital Partners,,2009
Mobixell Networks,Escalate Capital Partners,,2010
Market Force Information,Escalate Capital Partners,,2011
Achieve Financial Services,Escalate Capital Partners,,2012
AtTask,Escalate Capital Partners,,2012
Silverpop,Escalate Capital Partners,,2013
SCIC SA Adullact Projet,Esfin Gestion,,2009
SecurActive,Esfin Gestion,,2007
Interview,Esfin Gestion,,2007
Scopelec,Esfin Gestion,,2010
OmniGuide,ESI,,2008
Novacta Biosystems,Esperante Ventures,,2007
Cara Therapeutics,Esperante Ventures,,2005
Atox Bio,Esperante Ventures,,2011
Oesia,Esp’_rito Santo Capital,,2008
Spectrum Bridge,Esp’_rito Santo Ventures,,2008
A123 Systems,Esp’_rito Santo Ventures,,2009
TxVia,Esp’_rito Santo Ventures,,2008
Multiwave Photonics,Esp’_rito Santo Ventures,,2008
Ultracell,Esp’_rito Santo Ventures,,2009
Oceanlinx,Esp’_rito Santo Ventures,,2008
TxVia,Esp’_rito Santo Ventures,,2009
Petra Solar,Esp’_rito Santo Ventures,,2010
OutSystems,Esp’_rito Santo Ventures,,2007
YDreams - Inform‡tica,Esp’_rito Santo Ventures,,2006
AiCuris,Esp’_rito Santo Ventures,,2010
Chipidea Microelectr—nica,Esp’_rito Santo Ventures,,2007
TxVia,Esp’_rito Santo Ventures,,2010
CURRENT,Esp’_rito Santo Ventures,,2011
Spectrum Bridge,Esp’_rito Santo Ventures,,2011
Feedzai,Esp’_rito Santo Ventures,,2011
Ubiquity Global Services,Esp’_rito Santo Ventures,,2012
Muzzley,Esp’_rito Santo Ventures,,2012
Atraverda,Esp’_rito Santo Ventures,,2007
SafetyPay,Esp’_rito Santo Ventures,,2008
Codacy,Esp’_rito Santo Ventures,,2013
Advanced Cyclone Systems,Esp’_rito Santo Ventures,,2009
Aquaspy,Esp’_rito Santo Ventures,,2007
Coreworks,Esp’_rito Santo Ventures,,2006
Current Communications Group,Esp’_rito Santo Ventures,,2011
iosil Energy,Esp’_rito Santo Ventures,,2012
Magpower,Esp’_rito Santo Ventures,,2011
Sidense,Espresso Capital Partners,,2012
obopay,Essar Communications Holdings,,2008
MonCV.com,ESSEC,,2006
Synthesio,ESSEC,,2006
Ariisto,Essel Finance,,2014
PPDai,Essentia Equity,,2008
NG Advantage,Essex Flagship Investors Group,,2013
MyNewPlace,Essex Property Trust,,2006
Symphogen,Essex Woodlands Health Ventures,,2009
Xanodyne,Essex Woodlands Health Ventures,,2009
Catalyst Biosciences,Essex Woodlands Health Ventures,,2008
Chroma Therapeutics,Essex Woodlands Health Ventures,,2009
Nellix,Essex Woodlands Health Ventures,,2008
Accumetrics,Essex Woodlands Health Ventures,,2008
Oraya Therapeutics,Essex Woodlands Health Ventures,,2008
Oraya Therapeutics,Essex Woodlands Health Ventures,,2009
Complete Genomics,Essex Woodlands Health Ventures,,2009
Oraya Therapeutics,Essex Woodlands Health Ventures,,2007
StrataGent Life Sciences,Essex Woodlands Health Ventures,,2007
NeoVista,Essex Woodlands Health Ventures,,2006
Entellus Medical,Essex Woodlands Health Ventures,,2009
Molecular Partners,Essex Woodlands Health Ventures,,2009
Revance Therapeutics,Essex Woodlands Health Ventures,,2010
ikaSystems,Essex Woodlands Health Ventures,,2010
Accumetrics,Essex Woodlands Health Ventures,,2010
Accumetrics,Essex Woodlands Health Ventures,,2004
Ception Therapeutics,Essex Woodlands Health Ventures,,2007
Corium International,Essex Woodlands Health Ventures,,2007
Chroma Therapeutics,Essex Woodlands Health Ventures,,2006
Symphogen,Essex Woodlands Health Ventures,,2006
TearScience,Essex Woodlands Health Ventures,,2010
Light Sciences Oncology,Essex Woodlands Health Ventures,,2005
Complete Genomics,Essex Woodlands Health Ventures,,2010
Accumetrics,Essex Woodlands Health Ventures,,2010
CellBiosciences,Essex Woodlands Health Ventures,,2010
Endologix,Essex Woodlands Health Ventures,,2010
Symphogen,Essex Woodlands Health Ventures,,2011
Symphogen,Essex Woodlands Health Ventures,,2011
Revance Therapeutics,Essex Woodlands Health Ventures,,2011
Entellus Medical,Essex Woodlands Health Ventures,,2011
BreatheAmerica,Essex Woodlands Health Ventures,,2011
IntegenX,Essex Woodlands Health Ventures,,2012
Kona Medical,Essex Woodlands Health Ventures,,2012
Kona Medical,Essex Woodlands Health Ventures,,2012
Revance Therapeutics,Essex Woodlands Health Ventures,,2013
Catalyst Biosciences,Essex Woodlands Health Ventures,,2012
Qspex Technologies,Essex Woodlands Health Ventures,,2012
NeoVista,Essex Woodlands Health Ventures,,2012
PreCision Dermatology,Essex Woodlands Health Ventures,,2013
Catalyst Biosciences,Essex Woodlands Health Ventures,,2013
Qspex Technologies,Essex Woodlands Health Ventures,,2014
"ChargePoint, Inc.",Estag Capital,,2009
Ondango,Estag Capital,,2011
CitySlicker,Estag Capital,,2011
Brainient,Estag Capital,,2012
GameGenetics,Estag Capital,,2012
Cloutex,EstBAN,,2014
United Dogs and Cats,Estonian Development Fund,,2009
Sportlyzer,Estonian Development Fund,,2009
Fits.me,Estonian Development Fund,,2010
Startup Wise Guys,Estonian Development Fund,,2013
Cambridge Communication Systems,Etagra Group,,2013
ResoServ,ƒtoile ID,,2006
BridgeCo,ETV Capital SA,,2009
Icera,ETV Capital SA,,2008
Altair Semiconductor,ETV Capital SA,,2008
Intela,ETV Capital SA,,2010
Nallatech,ETV Capital SA,,2006
SPI Lasers,ETV Capital SA,,2006
Ekinops,ETV Capital SA,,2006
ChipSensors,ETV Capital SA,,2010
Melinta,EuclidSR Partners,,2009
Fluidigm,EuclidSR Partners,,2007
Fluidigm,EuclidSR Partners,,2009
Solaiemes,Eurecan,,2007
Abiquo,Eurecan,,2008
Abiquo,Eurecan,,2010
YouGift,Eureka Capital Management,,2012
Jade Solutions,Euro Sales Finance,,2005
Discretix,Eurocom Group,,2007
Cull Micro Imaging,Eurofactor (UK),,2005
Lotaris,Eurofin Ventures,,2011
BeInSync,Eurofund,,2005
BeInSync,Eurofund,,2006
Tevet Process Control Technologies,Eurofund,,2007
ColorChip,Eurofund,,2006
MobileAccess Networks,Eurofund,,2005
CyOptics,Eurofund,,2005
CyOptics,Eurofund,,2011
Netsmart Technologies,European American Securities,,2005
Enforta,European Bank for Reconstruction and Development (EBRD),,2008
KupiVIP,European Bank for Reconstruction and Development (EBRD),,2012
Evim.net,European Bank for Reconstruction and Development (EBRD),,2013
MAYKOR,European Bank for Reconstruction and Development (EBRD),,2013
Realeyes,European Commission,,2011
PacketFront,European Equity Partners,,2008
LinkedIn,European Founders Fund,,2007
Nirvanix,European Founders Fund,,2007
Frazr,European Founders Fund,,2007
iovation,European Founders Fund,,2008
TripIt,European Founders Fund,,2008
Facebook,European Founders Fund,,2008
Salesforce Buddy Media,European Founders Fund,,2008
Eventbrite,European Founders Fund,,2008
AdScale,European Founders Fund,,2008
Deutsche Startups,European Founders Fund,,2007
Become,European Founders Fund,,2008
AdRocket,European Founders Fund,,2009
Dizzywood,European Founders Fund,,2008
Reputation.com,European Founders Fund,,2008
Netviewer,European Founders Fund,,2008
borro,European Founders Fund,,2008
MediaMath,European Founders Fund,,2009
kissnofrog,European Founders Fund,,2008
Nasza-klasa.pl,European Founders Fund,,2007
LeadPoint,European Founders Fund,,2006
MediaMath,European Founders Fund,,2011
Tremor Video,European Founders Fund,,2008
Tremor Video,European Founders Fund,,2009
Tremor Video,European Founders Fund,,2010
PerMicro,European Investment Fund,,2011
Realeyes,European Regional Development Fund,,2010
Realeyes,European Regional Development Fund,,2012
Bioxodes,European Regional Development Fund,,2013
P2P-Next,European Union,,2008
Quaero,European Union,,2008
Exacaster,European Union,,2012
Filmaster,European Union,,2010
Manalto,Europlay Capital Advisors,,2013
twago - teamwork across global offices,Euroserve GmbH,,2012
Inside Secure.,EuroUS Ventures,,2007
Inside Secure.,EuroUS Ventures,,2006
EPAM Systems,Euroventures Capital Advisory,,2008
BVfon Telecommunication,Euroventures Capital Advisory,,2005
Tresorit,Euroventures Capital Advisory,,2012
Audionamix,Eurovestech,,2008
Tevet Process Control Technologies,Eurovestech,,2007
Audionamix,Eurovestech,,2007
ARKeX,Eurovestech,,2005
Tangentix,EV Group,,2013
Tyres on the Drive,EV Group,,2013
SunEdison,Ever Stream,,2013
Global Data Solutions,Everbright Investment & Management,,2008
Global Data Solutions,Everbright Investment & Management,,2007
Meru Networks,Evercore Partners,,2007
Meru Networks,Evercore Partners,,2009
StrongView,Evercore Partners,,2009
Meru Networks,Evercore Partners,,2009
StrongView,Evercore Partners,,2004
StrongView,Evercore Partners,,2006
StrongView,Evercore Partners,,2007
Meru Networks,Evercore Partners,,2006
Sierra Design Automation,Evercore Partners,,2006
ARIO Data Networks,Evercore Partners,,2006
Cast Iron Systems,Evercore Partners,,2005
Raser Technologies,Evergreen Clean Energy,,2009
Amimon,Evergreen Pacific Partners,,2007
Aniboom,Evergreen Venture Partners,,2007
KnockaTV,Evergreen Venture Partners,,2007
Taboola,Evergreen Venture Partners,,2007
Aniboom,Evergreen Venture Partners,,2008
PeerApp,Evergreen Venture Partners,,2008
Taboola,Evergreen Venture Partners,,2008
N-Trig,Evergreen Venture Partners,,2008
N-Trig,Evergreen Venture Partners,,2009
Pythagoras Solar,Evergreen Venture Partners,,2008
Eglue Business Technologies,Evergreen Venture Partners,,2008
Siklu,Evergreen Venture Partners,,2008
Peer39,Evergreen Venture Partners,,2009
Libox,Evergreen Venture Partners,,2008
Pontis,Evergreen Venture Partners,,2009
Varonis Systems,Evergreen Venture Partners,,2009
WiNetworks,Evergreen Venture Partners,,2009
Breach Security,Evergreen Venture Partners,,2009
Amimon,Evergreen Venture Partners,,2009
Crescendo Networks,Evergreen Venture Partners,,2008
Breach Security,Evergreen Venture Partners,,2008
Olista,Evergreen Venture Partners,,2008
