,angel,crowdfunding,other,post.ipo,private.equity,series.a,series.b,series.c.,venture,total
Late-stage,0.016666667,1.36E-20,0,0.008333333,0.841666667,0.066666667,0.041666667,0.016666667,0.008333333,4.166666667
Mid-stage,0.022652785,8.78E-05,0.012356395,-2.30E-19,0.011809915,0.193543058,0.214072551,0.252970608,0.292506895,59.51364764
Early-stage,0.32448132,8.34E-05,0.004911638,3.39E-19,0.003598906,0.449436649,0.074665417,0.030621423,0.112201238,26.83152174
