Rank,Name,Firm,Big Deal
1,Jim Breyer,Accel Partners,Facebook
2,Marc Andreessen,Andreessen Horowitz,Skype
3,Peter Thiel,Founders Fund,Facebook
4,Douglas Leone,Sequoia Capital,Meraki
5,Reid Hoffman,Greylock Partners,LinkedIn
6,Peter Fenton,Benchmark,Twitter
7,Jim Goetz,Sequoia Capital,Palo Alto Networks
8,Scott Sandell,New Enterprise Associates,Workday
9,Jeremy Levine,Bessemer Venture Partners,Pinterest
10,David Sze,Greylock Partners,Facebook
11,Paul Madera,Meritech Capital Partners,Facebook
12,Josh Kopelman,First Round Capital,Bazaarvoice
13,Michael Moritz,Sequoia Capital,Green Dot
14,Aneel Bhusri,Workday,Workday
15,Neil Shen,Sequoia Capital China,Qihoo 360
16,Fred Wilson,Union Square Ventures,Twitter
17,Ben Horowitz,Andreessen Horowitz,Nicira
18,Kevin Efrusy,Accel Partners,Facebook
19,Roelof Botha,Sequoia Capital,Square
20,Asheem Chandna,Greylock Partners,Palo Alto Networks
21,Chris Sacca,Lowercase Capital,Twitter
22,Steve Anderson,Baseline Ventures,Instagram
23,Todd Chaffee,Institutional Venture Partners,Twitter
24,Ben Nye,Bain Capital Ventures,LinkedIn
25,Mike Maples,Floodgate,Bazaarvoice
26,John Doerr,Kleiner Perkins Caufield &#38; Byers,Twitter
27,Neeraj Agrawal,Battery Ventures,Guidewire Software
28,Harry Weller,New Enterprise Associates,Groupon
29,Byron Deeter,Bessemer Venture Partners,Cornerstone OnDemand
30,Lee Fixel,Tiger Global Management,Facebook
31,Rob Ward,Meritech Capital Partners,Fortinet
32,Venky Ganesan,Menlo Ventures,Palo Alto Networks
33,Bill Gurley,Benchmark,OpenTable
34,Danny Rimer,Index Ventures,MySQL
35,Yuri Milner,Digital Sky Technologies,Facebook
36,Jenny Hongwei Lee,GGV Capital,21Vianet Group
37,Ted Schlein,Kleiner Perkins Caufield &#38; Byers,LifeLock
38,Joel Cutler,General Catalyst Partners,Kayak
39,David Weiden,Khosla Ventures,Lookout
40,George Zachary,Charles River Ventures,Yammer
41,Ron Conway,SV Angel,Twitter
42,Sandy Miller,Institutional Venture Partners,Zynga
43,George Bischof,Meritech Capital Partners,Fusion-io
44,Sameer Gandhi,Accel Partners,Dropbox
45,James Robinson,RRE Ventures,Vocera
46,Matt Cohler,Benchmark,Instagram
47,Mary Meeker,Kleiner Perkins Caufield &#38; Byers,Spotify
48,Suyang Zhang,IDG Accel,Tudou
49,Peter Barris,New Enterprise Associates,Groupon
50,Bob Goodman,Bessemer Venture Partners,Millennial Media
51,Bijan Sabet,Spark Capital,Twitter
52,Navin Chaddha,Mayfield Fund,MakeMyTrip
53,David Yuan,Technology Crossover Ventures,ExactTarget
54,Roger Lee,Battery Ventures,Angie's List
55,Chris Schaepe,Lightspeed Venture Partners,Fusion-io
56,Mike Gordon,Meritech Capital Partners,Ruckus Wireless
57,Stephen Jurvetson,Draper Fisher Jurvetson,SpaceX
58,Forest Baskett,New Enterprise Associates,Tableau Software
59,John Walecka,Redpoint Ventures,Fortinet
60,Richard Liu,Morningside Ventures,YY
61,David Cowan,Bessemer Venture Partners,LifeLock
62,Jay Hoag,Technology Crossover Ventures,Facebook
63,Ray Rothrock,Venrock,Imperva
64,Jeff Brody,Redpoint Ventures,HomeAway
65,Bruce Dunlevie,Benchmark,ServiceSource
66,Klaus Hommels,Lakestar,Spotify
67,Peter Chung,Summit Partners,Ubiquiti Networks
68,Vinod Khosla,Khosla Ventures,Square
69,Andrew Yan,SAIF Partners,VANCL
70,Josh Stein,Draper Fisher Jurvetson,Box
71,Salil Deshpande,Bain Capital Ventures,Buddy Media
72,Neal Dempsey,Bay Partners,Guidewire Software
73,Richard Kramlich,New Enterprise Associates,Force10 Networks
74,Jeff Jordan,Andreessen Horowitz,Airbnb
75,Bryan Roberts,Venrock,Ironwood Pharmaceuticals
76,Glenn Solomon,GGV Capital,Square
77,Kevin Harvey,Benchmark,Proofpoint
78,Peter Wagner,Formerly Accel Partners,Nimble Storage
79,James Slavet,Greylock Partners,Groupon
80,Bing Gordon,Kleiner Perkins Caufield &#38; Byers,Zynga
81,Steve Harrick,Institutional Venture Partners,Buddy Media
82,Theresia Gouw,Accel Partners,Imperva
83,Michael Krupka,Bain Capital Ventures,Liberty Dialysis
84,Jim Feuille,Crosslink Capital,Pandora
85,Brian Ascher,Venrock,Vocera Communications
86,Rich Wong,Accel Partners,Admob
87,William Ford,General Atlantic,First Republic Bank
88,Bruce Golden,Accel Partners,Qlik Technologies
89,Harry Nelis,Accel Partners,Showroomprive
90,Alfred Lin,Sequoia Capital,OpenTable
91,Randy Glein,Draper Fisher Jurvetson,Tesla
92,Luke Nosek,Founders Fund,Yammer
93,David Chao,DCM,Renren
94,Ajay Agarwal,Bain Capital Ventures,Kiva Systems
95,Rory O'Driscoll,Scale Venture Partners,ExactTarget
96,Jonathan Silverstein,OrbiMed,Enobia
97,Rob Hayes,First Round Capital,Square
98,John Connors,Ignition Partners,Splunk
99,Quan Zhou,IDG Accel,Dangdang
100,Hans Tung,Qiming Venture Partners,Xiaomi
